ENA-SAMPLE,Chlorophyll,Temperature,NO2 [umol/L],Oxygen [umol/kg],PO4 [umol/L],MGII_virus,Cyanophage,Depth,Salinity [PSU],SAR116,Nitrates [umol/L],MGII,SAR11,NO2NO3 [umol/L],Prochlorococcus,Synechococcus,Region,Euryarchaeota,Crenarchaeota,Cyanobacteria
ERS488599,0.224444,26.050367,0.1,179.9,0.59,1.52037388734,17.4439556625,80.0,36.1,0.179121927986,2.3,69.8790656823,58.8793606937,2.8,47.8747937519,2.19789532285,RS,0.119266405838,0.972976725611,50.0726890748
ERS488613,0.224444,26.050367,0.02,38.1,2.43,1.42683295102,5.81598688793,80.0,34.6,0.191600300818,42.5,0.102112452062,0.594670563668,34.63,0.125237936188,0.212201561517,RS,0.742894517299,0.0141092747213,0.337439497705
ERS488621,0.163228,27.329517,0.02,38.1,2.43,1.00811785838,58.5662986352,5.0,34.6,0.246435013596,42.5,67.7874902193,207.132055346,34.63,137.798257344,83.3616174202,RS,0.0817367989371,0.09038245002,221.159874764
ERS488649,0.186697,27.59865,0.12,186.2,0.57,1.52670628926,72.6398495489,5.0,35.4,0.231765901734,4.0,111.377752266,197.058208269,5.46,79.1431388787,48.1262971943,RS,0.0823931883151,0.123137589121,127.269436073
ERS488658,0.186697,27.59865,0.12,186.2,0.57,21.0916112845,266.210401956,5.0,35.4,0.00931441437678,4.0,4.66949634144,7.47915436925,5.46,1.73053899059,1.3577221173,RS,0.00646529728175,0.00594890951095,3.08826110789
ERS488673,0.186697,27.59865,0.14,189.8,0.53,51.8828746447,496.083899386,5.0,35.4,0.0741134568308,3.9,0.383050800285,0.407323114271,4.9,0.271108971333,0.65922576821,RS,0.0191567936075,0.00115519453028,0.930334739543
ERS488685,0.181406,27.589917,0.12,186.2,0.57,0.894479305107,12.2659727209,60.0,35.4,0.117069786614,4.0,12.4689474897,36.6943327924,5.46,12.8612836936,0.667509725946,RS,0.102319792789,1.53403472629,13.5287934195
ERS488701,0.181406,27.589917,0.12,186.2,0.57,21.6662814273,71.9508227385,60.0,35.4,0.00451729732442,4.0,0.320445858303,0.0945674909929,5.46,0.130309600582,0.0344469928811,RS,0.000779291124343,0.00115438467638,0.164756593463
ERS488714,0.129697,25.581433,1.47,161.3,0.66,3.55098194758,149.821205131,5.0,35.9,0.331666998021,5.0,17.5615583453,236.369506307,5.43,6.56927580394,43.0891969427,IO,0.0584907588821,0.0079231135426,49.6584727466
ERS488722,0.129697,25.581433,1.47,161.3,0.66,26.904177148,232.595369124,5.0,35.9,0.00382002152591,5.0,1.3327198345,6.09213486301,5.43,0.191965444836,1.08744904228,IO,0.0057597850559,0.000592506154751,1.27941448712
ERS488737,0.129697,25.581433,1.47,161.3,0.66,21.9595348617,376.228526499,5.0,35.9,0.0176381467494,5.0,0.215307961847,0.0522348838385,5.43,0.160356199346,0.590829331897,IO,0.00716650013397,0.000431157639596,0.751185531242
ERS488747,0.353707,25.37395,0.14,189.8,0.53,4.35449803216,94.23454186,17.0,35.4,0.26907058707,3.9,26.7166014801,245.023776553,4.9,5.81986992433,48.8584621214,IO,0.0754323800007,0.0242828380595,54.6783320457
ERS488757,0.353707,25.37395,0.14,189.8,0.53,16.3231146305,348.862918736,17.0,35.4,0.00129775963888,3.9,0.202021205476,0.0338007580835,4.9,0.137498062446,0.534768664361,IO,0.000295608039493,3.14764308696e-05,0.672266726806
ERS488769,0.005649,12.066048,0.16,190.7,0.63,0.0322093907802,0.156079098347,600.0,35.4,0.131492535328,5.1,1.8684219955,7.96816592929,6.18,0.168850073777,0.176557374454,IO,0.112882655235,0.350014524858,0.345407448231
ERS488773,0.005649,12.066048,1.47,161.3,0.66,3.07519827052,11.3164536704,600.0,35.9,0.100609047778,5.0,1.09480606803,4.59039318536,5.43,0.103510799697,0.598760044393,IO,0.158754249856,0.887489080811,0.70227084409
ERS488799,0.161808,26.2314,0.35,175.9,0.49,5.92954777344,123.606747298,5.0,35.8,0.197759988521,4.5,40.9926323553,187.403096611,1.21,139.755406794,47.8260261085,IO,0.0706734900883,0.0108311657429,187.581432902
ERS488803,0.161808,26.2314,0.35,175.9,0.49,26.4234768004,243.715926113,5.0,35.8,0.0051292847042,4.5,1.27931421095,0.794898305391,1.21,0.790598159517,0.472601454206,IO,0.00524115625889,0.000657664157941,1.26319961372
ERS488813,0.161808,26.2314,0.35,175.9,0.49,65.0224500907,362.298352035,5.0,35.8,0.0238525391247,4.5,0.203020676082,0.813872972772,1.21,0.252197774193,0.460995719083,IO,0.00856931415336,0.000597429510795,0.713193493275
ERS488830,0.604752,25.494408,0.16,190.7,0.63,8.3429329149,123.848199524,25.0,35.4,0.12710873504,5.1,33.7012905116,173.948195473,6.18,113.20295546,62.5149462096,IO,0.0638234889087,0.125180747335,175.71790167
ERS488836,0.604752,25.494408,0.16,190.7,0.63,121.426138179,272.484881939,25.0,35.4,0.0235595432964,5.1,0.214118836589,0.262994287686,6.18,0.181008441201,0.46567996627,IO,0.0104185289439,0.000341486159943,0.646688407472
ERS488849,0.014107,14.987618,0.35,175.9,0.49,0.0116519028542,0.207668905213,340.0,35.8,0.172002467449,4.5,1.22705836132,18.2876670627,1.21,0.299742764313,0.155981067644,IO,0.119072644144,0.176955565225,0.455723831957
ERS488853,0.014107,14.987618,0.16,190.7,0.63,0.928359993343,3.6308781251,340.0,35.4,0.0849731610713,5.1,0.281053385174,0.641052653545,6.18,0.116711700638,0.239622323675,IO,0.0519248903759,0.0187966877826,0.356334024313
ERS488879,0.099089,26.81765,0.06,160.5,0.56,26.0558286985,189.44662676,5.0,36.3,0.0178549922736,3.7,0.938613565664,0.704281340986,3.15,0.656200326634,0.6694160359,IO,0.0129053797922,0.000813258823696,1.32561636253
ERS488892,0.099089,26.81765,0.06,160.5,0.56,94.1356628012,238.104273329,5.0,36.3,0.0387846566897,3.7,0.125021447372,0.234265157355,3.15,0.181299349611,0.419176564417,IO,0.0100683922463,0.000859601026221,0.600475914029
ERS488916,0.17638,26.812225,0.19,187.3,0.56,5.07942540081,124.115550801,25.0,35.4,0.107294183388,5.0,22.5370147462,58.4508767742,3.73,83.2354408434,24.0935703569,IO,0.0287910331223,0.00376392280606,107.3290112
ERS488929,0.17638,26.812225,0.19,187.3,0.56,110.235696853,314.451492243,25.0,35.4,0.0204459825017,5.0,0.268504747387,0.186739234218,3.73,0.215735213849,0.41351915067,IO,0.00392741440102,0.000174721843012,0.629254364519
ERS488936,0.006724,15.614195,0.19,187.3,0.56,0.013272446432,0.113941421554,270.0,35.4,0.162886092783,5.0,0.467604297612,12.7177785663,3.73,0.292038082701,0.149479784637,IO,0.115446826326,0.0675368813423,0.441517867337
ERS488945,0.006724,15.614195,0.19,187.3,0.56,0.636875260439,2.07123380113,270.0,35.4,0.0310836078836,5.0,0.176832263055,1.47103290423,3.73,0.210118512309,0.101654338234,IO,0.0432340404331,0.0222819501637,0.311772850542
ERS489043,0.020173,29.089367,0.27,179.9,0.54,2.73864725558,76.9914274597,5.0,35.1,0.225501556058,2.5,30.9364181416,118.690823064,5.08,362.98985291,7.11235128011,IO,0.0554610097757,0.00580245630578,370.10220419
ERS489047,0.020173,29.089367,0.28,177.0,0.55,9.71342128845,101.903921791,5.0,35.1,0.0663622540279,4.4,0.868073661866,0.435011431422,5.26,1.5165817576,0.138913134574,IO,0.0587806534999,0.00226539679389,1.65549489218
ERS489053,0.020173,29.089367,,,,,,5.0,,,,,,,,,IO,,,
ERS489059,0.020173,29.089367,0.02,225.5,0.13,25.42678024,116.289781036,5.0,34.4,0.0407016621122,0.7,0.554338776815,0.0716657699161,0.05,0.528342052377,0.0707669939286,IO,0.00902637401423,0.000459750067873,0.599109046305
ERS489074,0.47554,27.117663,0.06,160.5,0.56,7.61184252151,164.453819669,60.0,36.3,0.116362108205,3.7,60.9917669629,102.033089583,3.15,51.4971898197,0.519993591446,IO,0.0685941122742,0.149749585055,52.0171834112
ERS489084,0.47554,27.117663,0.06,160.5,0.56,121.270876555,920.066502371,60.0,36.3,0.0887999243084,3.7,0.404975169869,0.211261174047,3.15,0.814016811058,0.328919385212,IO,0.045509886361,0.00204912640204,1.14293619627
ERS489087,0.006724,29.980283,0.08,227.7,0.46,0.949026326354,107.391867327,5.0,33.2,0.206856820096,4.8,65.1074846399,119.49115874,1.3,267.40671423,1.42191968083,IO,0.0687447437899,0.0111404122414,268.828633911
ERS489113,0.006724,29.980283,0.0,8.6,3.29,64.5083251049,160.677288026,5.0,34.3,0.0944337499653,44.1,0.780578605344,0.153695023482,44.24,0.655539403784,0.098274540831,IO,0.0308612963697,0.00162833513114,0.753813944615
ERS489134,0.388348,27.723425,0.0,138.7,1.22,3.83765009925,227.119933642,80.0,34.0,0.104998809425,29.1,32.9950486433,110.949955789,17.49,68.8641513376,0.2541479564,IO,0.0638073130258,0.113574606013,69.118299294
ERS489142,0.388348,27.723425,,,,,,80.0,,,,,,,,,IO,,,
ERS489148,0.388348,27.723425,0.0,197.7,0.01,37.0164184342,215.220186749,80.0,35.2,0.00926195851111,-1.0,1.1072193833,0.0222043549534,0.01,0.460291738467,0.0477248616413,IO,0.00313117014988,0.000303525295691,0.508016600108
ERS489236,0.026898,30.496383,0.0,224.4,0.29,0.161258805774,51.3393460012,5.0,33.1,0.23160659146,-0.7,22.6924351217,113.322473416,0.02,552.89865821,4.61896453791,IO,0.0576639395422,0.00546996794004,557.517622748
ERS489285,0.121909,30.12565,0.31,95.4,0.88,81.2534499788,72.923095294,5.0,34.4,0.043399878069,11.0,0.245350572216,0.103304588721,6.05,0.227980678985,0.109007180374,IO,0.01639515992,0.00101584265145,0.336987859359
ERS489315,0.0,29.818233,0.07,195.1,0.46,0.131709873051,23.0963158662,5.0,33.9,0.262428368999,3.2,58.3349891304,90.4900257082,2.44,512.939545036,0.496874679463,IO,0.0614163893673,0.00633550556441,513.436419715
ERS489324,0.0,29.818233,0.01,0.6,2.95,6.20955674778,123.503302306,5.0,34.6,0.0209367862988,35.7,3.81038569954,0.558938086295,34.55,9.58844787677,0.0409092335032,IO,0.0230120358203,0.000697768723599,9.62935711027
ERS489506,0.266374,24.866483,,,,,,80.0,,,,,,,,,IO,,,
ERS489529,0.176565,27.8684,0.0,196.9,0.16,0.782521778061,52.3830653633,5.0,33.4,0.213384233124,-1.2,59.9755167527,72.2305898439,0.0,78.1071534017,1.24038735461,IO,0.0731802640518,0.00599536111639,79.3475407563
