ENA-RUN,Depth,ENA-BASE-COUNT,ENA-SPOT-COUNT,Layer,LATITUDE,LONGITUDE,Protocol Label,Station,Size Fraction Lower Threshold,Size Fraction Upper Threshold,Temperature,Region
ERR599030,5,34045994384,171139183,surface water layer (ENVO:00002042),6.3332,-102.9432,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_138,0.22,3,26.6362,NPO
ERR599060,450,8641195051,43396387,mesopelagic zone (ENVO:00000213),6.3559,-103.0598,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_138,0.22,3,8.210557,NPO
ERR599175,450,8640242831,43396741,mesopelagic zone (ENVO:00000213),6.3559,-103.0598,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_138,0.22,3,8.210557,NPO
ERR599087,60,38613633728,195911486,deep chlorophyll maximum layer (ENVO:xxxxxxxx),6.3378,-102.9538,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_138,0.22,3,19.048358,NPO
ERR599345,60,7359430394,38355801,deep chlorophyll maximum layer (ENVO:xxxxxxxx),6.3378,-102.9538,VIRUS_NUC-Fe_W<-0.22,TARA_138,<,0.22,19.048358,NPO
ERR868420,5,40445968393,211829291,surface water layer (ENVO:00002042),6.4998,-94.9527,PROT_NUC-DNA(100L)_W0.8-5,TARA_139,0.8,5,26.273758,NPO
ERR599162,5,36849297558,185167291,surface water layer (ENVO:00002042),7.4122,-79.3017,BACT_NUC-DNA(100L)_W0.22-3,TARA_140,0.22,3,26.62925,NPO
ERR599029,5,33917602530,171199015,surface water layer (ENVO:00002042),9.8481,-80.0454,BACT_NUC-DNA(100L)_W0.22-3,TARA_141,0.22,3,27.119358,NAO
ERR868430,5,32415035013,163847821,surface water layer (ENVO:00002042),25.5264,-88.394,PROT_NUC-RNA(100L)_W0.8-5,TARA_142,0.8,5,24.96555,NAO
ERR598985,640,32445992734,164118504,mesopelagic zone (ENVO:00000213),25.6236,-88.45,BACT_NUC-DNA(100L)_W0.22-3,TARA_142,0.22,3,9.756257,NAO
ERR599100,125,30926232458,155790912,deep chlorophyll maximum layer (ENVO:xxxxxxxx),25.6168,-88.4532,BACT_NUC-DNA(100L)_W0.22-3,TARA_142,0.22,3,24.948842,NAO
ERR599136,5,31151822592,157141812,surface water layer (ENVO:00002042),25.5264,-88.394,BACT_NUC-DNA(100L)_W0.22-3,TARA_142,0.22,3,24.96555,NAO
ERR599166,590,35012444630,177112313,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),39.2392,-70.0343,BACT_NUC-DNA(100L)_W0.22-3,TARA_145,0.22,3,5.067239,NAO
ERR598983,5,34724751061,176015464,surface water layer (ENVO:00002042),39.2305,-70.0377,BACT_NUC-DNA(100L)_W0.22-3,TARA_145,0.22,3,14.11885,NAO
ERR599047,640,30478289383,153923288,mesopelagic zone (ENVO:00000213),34.6663,-71.2907,BACT_NUC-DNA(100L)_W0.22-3,TARA_146,0.22,3,11.012346,NAO
ERR598968,5,33618784181,169471567,surface water layer (ENVO:00002042),34.6712,-71.3093,BACT_NUC-DNA(100L)_W0.22-3,TARA_146,0.22,3,19.1288,NAO
ERR599123,5,34061723556,173119198,surface water layer (ENVO:00002042),31.6948,-64.2489,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_148,0.22,3,20.3973,NAO
ERR598958,250,33529892640,169860924,mesopelagic zone (ENVO:00000213),34.1504,-56.9684,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_148b,0.22,3,18.169021,NAO
ERR598964,740,38144459509,194032897,mesopelagic zone (ENVO:00000213),34.0771,-49.8233,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_149,0.22,3,10.565417,NAO
ERR598963,5,35306537802,178945938,surface water layer (ENVO:00002042),34.1132,-49.9181,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_149,0.22,3,18.732683,NAO
ERR598996,40,36053577901,182027367,deep chlorophyll maximum layer (ENVO:xxxxxxxx),35.8427,-37.1526,BACT_NUC-DNA(100L)_W0.22-3,TARA_150,0.22,3,17.663574,NAO
ERR599170,5,38228644813,193884779,surface water layer (ENVO:00002042),35.9346,-37.3032,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_150,0.22,3,17.583075,NAO
ERR598986,80,36235703961,184769144,deep chlorophyll maximum layer (ENVO:xxxxxxxx),36.1811,-28.9373,BACT_NUC-DNA(100L)_W0.22-3,TARA_151,0.22,3,16.751066,NAO
ERR598976,5,39094876638,198143365,surface water layer (ENVO:00002042),36.1715,-29.023,BACT_NUC-RNA(10L-or-10min)_W0.22-3,TARA_151,0.22,3,17.260108,NAO
ERR599001,5-160,38443789167,194231437,water layer with no specific feature,43.7684,-16.9047,BACT_NUC-DNA(100L)_W0.22-3,TARA_152,0.22,3,99999,NAO
ERR598944,800,34239796554,172787280,mesopelagic zone (ENVO:00000213),43.7182,-16.8714,BACT_NUC-DNA(100L)_W0.22-3,TARA_152,0.22,3,10.21177,NAO
ERR599078,5,32684205384,164620027,surface water layer (ENVO:00002042),43.6792,-16.8344,BACT_NUC-DNA(100L)_W0.22-3,TARA_152,0.22,3,14.28065,NAO
