RUN,Chlorophyll,Depth,ENA-SAMPLE,Environment (Feature),Nitrate Sensor,Oxygen Sensor,Salinity Sensor,Sampling Station,Temperature
ERR599005,0,800,ERS490507,mesopelagic zone (ENVO:00000213),38.448475,143.1955,34.472575,TARA_072,4.673875
ERR599048,0,800,ERS490507,mesopelagic zone (ENVO:00000213),38.448475,143.1955,34.472575,TARA_072,4.673875
ERR599211,0,800,ERS490521,mesopelagic zone (ENVO:00000213),38.448475,143.1955,34.472575,TARA_072,4.673875
ERR594388,0,800,ERS490522,mesopelagic zone (ENVO:00000213),38.448475,143.1955,34.472575,TARA_072,4.673875
ERR599126,0.033622,5,ERS490542,surface water layer (ENVO:00002042),0.030608,206.194333,37.101367,TARA_076,23.349542
ERR599010,0.033622,5,ERS490542,surface water layer (ENVO:00002042),0.030608,206.194333,37.101367,TARA_076,23.349542
ERR594310,0.033622,5,ERS490547,surface water layer (ENVO:00002042),0.030608,206.194333,37.101367,TARA_076,23.349542
ERR594286,0.033622,5,ERS490548,surface water layer (ENVO:00002042),0.030608,206.194333,37.101367,TARA_076,23.349542
ERR599309,0.033622,5,ERS490553,surface water layer (ENVO:00002042),0.030608,206.194333,37.101367,TARA_076,23.349542
ERR594354,0.033622,5,ERS490557,surface water layer (ENVO:00002042),0.030608,206.194333,37.101367,TARA_076,23.349542
ERR599148,0.150865,150,ERS490597,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.580918,203.814833,36.724683,TARA_076,21.643283
ERR599040,0.150865,150,ERS490597,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.580918,203.814833,36.724683,TARA_076,21.643283
ERR594321,0.150865,150,ERS490602,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.580918,203.814833,36.724683,TARA_076,21.643283
ERR594298,0.150865,150,ERS490603,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.580918,203.814833,36.724683,TARA_076,21.643283
ERR599330,0.150865,150,ERS490607,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.580918,203.814833,36.724683,TARA_076,21.643283
ERR594355,0.150865,150,ERS490610,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.580918,203.814833,36.724683,TARA_076,21.643283
ERR599000,0,800,ERS490633,mesopelagic zone (ENVO:00000213),34.589515,192.1655,34.369275,TARA_076,4.749588
ERR599154,0,800,ERS490633,mesopelagic zone (ENVO:00000213),34.589515,192.1655,34.369275,TARA_076,4.749588
ERR594333,0,800,ERS490643,mesopelagic zone (ENVO:00000213),34.589515,192.1655,34.369275,TARA_076,4.749588
ERR599006,0.053173,5,ERS490659,surface water layer (ENVO:00002042),-0.385346,221.47475,36.32425,TARA_078,19.854083
ERR599022,0.053173,5,ERS490659,surface water layer (ENVO:00002042),-0.385346,221.47475,36.32425,TARA_078,19.854083
ERR594340,0.053173,5,ERS490664,surface water layer (ENVO:00002042),-0.385346,221.47475,36.32425,TARA_078,19.854083
ERR594332,0.053173,5,ERS490665,surface water layer (ENVO:00002042),-0.385346,221.47475,36.32425,TARA_078,19.854083
ERR594411,0.053173,5,ERS490676,surface water layer (ENVO:00002042),-0.385346,221.47475,36.32425,TARA_078,19.854083
ERR599101,0.226052,120,ERS490691,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.478929,217.140667,36.27495,TARA_078,19.30925
ERR599046,0.226052,120,ERS490691,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.478929,217.140667,36.27495,TARA_078,19.30925
ERR594336,0.226052,120,ERS490696,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.478929,217.140667,36.27495,TARA_078,19.30925
ERR594303,0.226052,120,ERS490697,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.478929,217.140667,36.27495,TARA_078,19.30925
ERR599124,0,800,ERS490714,mesopelagic zone (ENVO:00000213),29.783185,214.842,34.3629,TARA_078,5.8659
ERR599159,0,800,ERS490714,mesopelagic zone (ENVO:00000213),29.783185,214.842,34.3629,TARA_078,5.8659
ERR594289,0,800,ERS490722,mesopelagic zone (ENVO:00000213),29.783185,214.842,34.3629,TARA_078,5.8659
ERR599009,0.310844,5,ERS490885,surface water layer (ENVO:00002042),17.091069,305.012167,34.048642,TARA_082,7.321517
ERR599035,0.310844,5,ERS490885,surface water layer (ENVO:00002042),17.091069,305.012167,34.048642,TARA_082,7.321517
ERR599384,0.310844,5,ERS490900,surface water layer (ENVO:00002042),17.091069,305.012167,34.048642,TARA_082,7.321517
ERR599122,1.01772,40,ERS490928,deep chlorophyll maximum layer (ENVO:xxxxxxxx),17.111823,306.211529,34.057594,TARA_082,6.975635
ERR599027,1.01772,40,ERS490928,deep chlorophyll maximum layer (ENVO:xxxxxxxx),17.111823,306.211529,34.057594,TARA_082,6.975635
ERR594409,1.01772,40,ERS490953,deep chlorophyll maximum layer (ENVO:xxxxxxxx),17.111823,306.211529,34.057594,TARA_082,6.975635
ERR599059,0.109555,5,ERS491001,surface water layer (ENVO:00002042),24.423039,338.2982,33.71972,TARA_084,1.84402
ERR598945,0.109555,5,ERS491001,surface water layer (ENVO:00002042),24.423039,338.2982,33.71972,TARA_084,1.84402
ERR599090,0.065273,5,ERS491044,surface water layer (ENVO:00002042),27.501159,343.4373,34.35388,TARA_085,0.67108
ERR599176,0.065273,5,ERS491044,surface water layer (ENVO:00002042),27.501159,343.4373,34.35388,TARA_085,0.67108
ERR599364,0.065273,5,ERS491063,surface water layer (ENVO:00002042),27.501159,343.4373,34.35388,TARA_085,0.67108
ERR599121,0.540091,90,ERS491095,deep chlorophyll maximum layer (ENVO:xxxxxxxx),33.109231,325.402987,34.319478,TARA_085,-0.78154
ERR599104,0.540091,90,ERS491095,deep chlorophyll maximum layer (ENVO:xxxxxxxx),33.109231,325.402987,34.319478,TARA_085,-0.78154
ERR594377,0.540091,90,ERS491107,deep chlorophyll maximum layer (ENVO:xxxxxxxx),33.109231,325.402987,34.319478,TARA_085,-0.78154
ERR599008,0.010087,790,ERS491110,mesopelagic zone (ENVO:00000213),38.821249,203.8394,34.67996,TARA_085,0.45883
ERR599125,0.010087,790,ERS491110,mesopelagic zone (ENVO:00000213),38.821249,203.8394,34.67996,TARA_085,0.45883
ERR599064,0.387495,5,ERS491421,surface water layer (ENVO:00002042),-1.485075,244.861667,34.295417,TARA_093,18.014508
ERR868416,0.387495,5,ERS491433,surface water layer (ENVO:00002042),-1.485075,244.861667,34.295417,TARA_093,18.014508
ERR598965,1.104727,35,ERS491463,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.660123,237.215,34.267975,TARA_093,16.40115
ERR599050,0.147822,5,ERS491492,surface water layer (ENVO:00002042),-0.39754,219.174917,34.682604,TARA_094,21.131962
ERR868436,0.139594,5,ERS491514,surface water layer (ENVO:00002042),-0.399569,211.064917,34.9278,TARA_095,22.413508
ERR598967,0.044093,5,ERS491525,surface water layer (ENVO:00002042),-0.372718,204.13825,35.766117,TARA_096,23.799133
ERR868446,0.203442,175,ERS491673,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.204771,217.199475,35.368045,TARA_097,18.334334
ERR599093,0.013449,5,ERS491699,surface water layer (ENVO:00002042),-1.567491,200.538167,36.402683,TARA_098,25.14875
ERR599120,0.013449,5,ERS491699,surface water layer (ENVO:00002042),-1.567491,200.538167,36.402683,TARA_098,25.14875
ERR599079,0.176523,188,ERS491740,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.73316,210.5781,35.845669,TARA_098,20.171605
ERR599042,0.176523,188,ERS491740,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.73316,210.5781,35.845669,TARA_098,20.171605
ERR873966,0.176523,188,ERS491757,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.73316,210.5781,35.845669,TARA_098,20.171605
ERR599071,0,488,ERS491767,mesopelagic zone (ENVO:00000213),24.644021,155.55759,34.362649,TARA_098,8.113126
ERR599085,0,488,ERS491767,mesopelagic zone (ENVO:00000213),24.644021,155.55759,34.362649,TARA_098,8.113126
ERR599024,0.037733,5,ERS491804,surface water layer (ENVO:00002042),-1.737405,203.995417,36.129117,TARA_099,23.788833
ERR599163,0.287892,5,ERS491836,surface water layer (ENVO:00002042),4.590737,200.233917,35.835267,TARA_100,25.2512
ERR599169,0.287892,5,ERS491836,surface water layer (ENVO:00002042),4.590737,200.233917,35.835267,TARA_100,25.2512
ERR599063,0.287892,5,ERS491836,surface water layer (ENVO:00002042),4.590737,200.233917,35.835267,TARA_100,25.2512
ERR599342,0.287892,5,ERS491851,surface water layer (ENVO:00002042),4.590737,200.233917,35.835267,TARA_100,25.2512
ERR599113,0.366887,50,ERS491874,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.501977,216.790338,35.544655,TARA_100,20.649431
ERR599081,0.366887,50,ERS491874,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.501977,216.790338,35.544655,TARA_100,20.649431
ERR599359,0.366887,50,ERS491897,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.501977,216.790338,35.544655,TARA_100,20.649431
ERR598981,0.121464,177,ERS491913,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),21.068385,0.70843,34.840218,TARA_100,13.014573
ERR598946,0.121464,177,ERS491913,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),21.068385,0.70843,34.840218,TARA_100,13.014573
ERR598953,0.121464,177,ERS491913,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),21.068385,0.70843,34.840218,TARA_100,13.014573
ERR599375,0.121464,177,ERS491930,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),21.068385,0.70843,34.840218,TARA_100,13.014573
ERR598978,0.238224,5,ERS491938,surface water layer (ENVO:00002042),11.688971,205.992583,34.748175,TARA_102,24.943108
ERR598943,0.238224,5,ERS491938,surface water layer (ENVO:00002042),11.688971,205.992583,34.748175,TARA_102,24.943108
ERR599128,0.010087,480,ERS491980,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),40.008967,4.42525,34.69255,TARA_102,9.195825
ERR599055,0.010087,480,ERS491980,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),40.008967,4.42525,34.69255,TARA_102,9.195825
ERR599132,0.010087,480,ERS491980,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),40.008967,4.42525,34.69255,TARA_102,9.195825
ERR599346,0.010087,480,ERS491995,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),40.008967,4.42525,34.69255,TARA_102,9.195825
ERR599007,0.728939,40,ERS492012,deep chlorophyll maximum layer (ENVO:xxxxxxxx),20.328327,103.916711,34.900284,TARA_102,19.566255
ERR599168,0.728939,40,ERS492012,deep chlorophyll maximum layer (ENVO:xxxxxxxx),20.328327,103.916711,34.900284,TARA_102,19.566255
ERR598962,0.728939,40,ERS492012,deep chlorophyll maximum layer (ENVO:xxxxxxxx),20.328327,103.916711,34.900284,TARA_102,19.566255
ERR868377,0,380,ERS492117,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),37.694059,4.60625,34.745125,TARA_106,10.193037
ERR598997,0.28167,5,ERS492145,surface water layer (ENVO:00002042),1.210114,198.635833,33.3676,TARA_109,27.617558
ERR599118,0.28167,5,ERS492145,surface water layer (ENVO:00002042),1.210114,198.635833,33.3676,TARA_109,27.617558
ERR868441,0.28167,5,ERS492154,surface water layer (ENVO:00002042),1.210114,198.635833,33.3676,TARA_109,27.617558
ERR594412,0.28167,5,ERS492160,surface water layer (ENVO:00002042),1.210114,198.635833,33.3676,TARA_109,27.617558
ERR599065,0.737378,30,ERS492177,deep chlorophyll maximum layer (ENVO:xxxxxxxx),3.886605,203.127654,34.344808,TARA_109,26.532035
ERR599108,0.737378,30,ERS492177,deep chlorophyll maximum layer (ENVO:xxxxxxxx),3.886605,203.127654,34.344808,TARA_109,26.532035
ERR598952,0.737378,30,ERS492177,deep chlorophyll maximum layer (ENVO:xxxxxxxx),3.886605,203.127654,34.344808,TARA_109,26.532035
ERR594381,0.737378,30,ERS492198,deep chlorophyll maximum layer (ENVO:xxxxxxxx),3.886605,203.127654,34.344808,TARA_109,26.532035
ERR594380,0.737378,30,ERS492198,deep chlorophyll maximum layer (ENVO:xxxxxxxx),3.886605,203.127654,34.344808,TARA_109,26.532035
ERR594383,0.737378,30,ERS492198,deep chlorophyll maximum layer (ENVO:xxxxxxxx),3.886605,203.127654,34.344808,TARA_109,26.532035
ERR594387,0.737378,30,ERS492198,deep chlorophyll maximum layer (ENVO:xxxxxxxx),3.886605,203.127654,34.344808,TARA_109,26.532035
ERR594357,0.737378,30,ERS492198,deep chlorophyll maximum layer (ENVO:xxxxxxxx),3.886605,203.127654,34.344808,TARA_109,26.532035
ERR598971,0,380,ERS492205,mesopelagic zone (ENVO:00000213),33.915981,2.516667,34.79985,TARA_109,11.3158
ERR599067,0,380,ERS492205,mesopelagic zone (ENVO:00000213),33.915981,2.516667,34.79985,TARA_109,11.3158
ERR868506,0,380,ERS492212,mesopelagic zone (ENVO:00000213),33.915981,2.516667,34.79985,TARA_109,11.3158
ERR599039,0.317793,5,ERS492228,surface water layer (ENVO:00002042),6.729337,190.816333,35.0193,TARA_110,23.8683
ERR868442,0.317793,5,ERS492243,surface water layer (ENVO:00002042),6.729337,190.816333,35.0193,TARA_110,23.8683
ERR599014,0.460366,50,ERS492264,deep chlorophyll maximum layer (ENVO:xxxxxxxx),10.945064,144.633667,35.066093,TARA_110,21.814577
ERR868438,0.460366,50,ERS492279,deep chlorophyll maximum layer (ENVO:xxxxxxxx),10.945064,144.633667,35.066093,TARA_110,21.814577
ERR599020,0,380,ERS492294,mesopelagic zone (ENVO:00000213),34.644911,1.27395,34.755346,TARA_110,10.2584
ERR868443,0,380,ERS492306,mesopelagic zone (ENVO:00000213),34.644911,1.27395,34.755346,TARA_110,10.2584
ERR599077,0.203347,5,ERS492321,surface water layer (ENVO:00002042),2.568726,208.8654,35.97144,TARA_111,22.76873
ERR599357,0.203347,5,ERS492342,surface water layer (ENVO:00002042),2.568726,208.8654,35.97144,TARA_111,22.76873
ERR598961,0.378549,90,ERS492357,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.411516,211.54555,35.687249,TARA_111,19.881449
ERR599369,0.378549,90,ERS492376,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.411516,211.54555,35.687249,TARA_111,19.881449
ERR599086,0,350,ERS492381,mesopelagic zone (ENVO:00000213),30.409013,3.171063,34.698369,TARA_111,10.893125
ERR599368,0,350,ERS492399,mesopelagic zone (ENVO:00000213),30.409013,3.171063,34.698369,TARA_111,10.893125
ERR598954,0.04895,5,ERS492408,surface water layer (ENVO:00002042),-0.916543,202.174583,36.453917,TARA_112,24.237467
ERR868501,0.04895,5,ERS492426,surface water layer (ENVO:00002042),-0.916543,202.174583,36.453917,TARA_112,24.237467
ERR598957,0.222552,155,ERS492445,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.476585,207.089325,35.939945,TARA_112,22.261435
ERR868432,0.222552,155,ERS492461,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.476585,207.089325,35.939945,TARA_112,22.261435
ERR599072,0,696,ERS492471,mesopelagic zone (ENVO:00000213),29.181849,199.248437,34.305001,TARA_112,5.791448
ERR868405,0.142584,5,ERS492516,surface water layer (ENVO:00002042),-0.684453,203.003667,36.514942,TARA_113,23.791908
ERR598992,0.166512,5,ERS492642,surface water layer (ENVO:00002042),3.986359,186.2407,35.3662,TARA_122,26.54413
ERR594292,0.166512,5,ERS492646,surface water layer (ENVO:00002042),3.986359,186.2407,35.3662,TARA_122,26.54413
ERR594307,0.166512,5,ERS492647,surface water layer (ENVO:00002042),3.986359,186.2407,35.3662,TARA_122,26.54413
ERR594306,0.166512,5,ERS492648,surface water layer (ENVO:00002042),3.986359,186.2407,35.3662,TARA_122,26.54413
ERR599380,0.166512,5,ERS492657,surface water layer (ENVO:00002042),3.986359,186.2407,35.3662,TARA_122,26.54413
ERR599096,0,600,ERS492680,mesopelagic zone (ENVO:00000213),42.53205,38.115125,34.580675,TARA_122,7.212238
ERR598999,0,600,ERS492680,mesopelagic zone (ENVO:00000213),42.53205,38.115125,34.580675,TARA_122,7.212238
ERR599083,0,600,ERS492680,mesopelagic zone (ENVO:00000213),42.53205,38.115125,34.580675,TARA_122,7.212238
ERR599033,0,600,ERS492680,mesopelagic zone (ENVO:00000213),42.53205,38.115125,34.580675,TARA_122,7.212238
ERR594309,0,600,ERS492683,mesopelagic zone (ENVO:00000213),42.53205,38.115125,34.580675,TARA_122,7.212238
ERR594305,0,600,ERS492684,mesopelagic zone (ENVO:00000213),42.53205,38.115125,34.580675,TARA_122,7.212238
ERR594322,0,600,ERS492685,mesopelagic zone (ENVO:00000213),42.53205,38.115125,34.580675,TARA_122,7.212238
ERR599341,0,600,ERS492692,mesopelagic zone (ENVO:00000213),42.53205,38.115125,34.580675,TARA_122,7.212238
ERR598948,0.295808,115,ERS492699,deep chlorophyll maximum layer (ENVO:xxxxxxxx),2.333576,179.916875,36.097575,TARA_122,24.69625
ERR594284,0.295808,115,ERS492703,deep chlorophyll maximum layer (ENVO:xxxxxxxx),2.333576,179.916875,36.097575,TARA_122,24.69625
ERR594304,0.295808,115,ERS492704,deep chlorophyll maximum layer (ENVO:xxxxxxxx),2.333576,179.916875,36.097575,TARA_122,24.69625
ERR594301,0.295808,115,ERS492705,deep chlorophyll maximum layer (ENVO:xxxxxxxx),2.333576,179.916875,36.097575,TARA_122,24.69625
ERR599377,0.295808,115,ERS492714,deep chlorophyll maximum layer (ENVO:xxxxxxxx),2.333576,179.916875,36.097575,TARA_122,24.69625
ERR599160,0.319103,5,ERS492733,surface water layer (ENVO:00002042),3.868407,189.758333,35.359483,TARA_123,26.576175
ERR594326,0.319103,5,ERS492738,surface water layer (ENVO:00002042),3.868407,189.758333,35.359483,TARA_123,26.576175
ERR594347,0.319103,5,ERS492739,surface water layer (ENVO:00002042),3.868407,189.758333,35.359483,TARA_123,26.576175
ERR634968,0.319103,5,ERS492748,surface water layer (ENVO:00002042),3.868407,189.758333,35.359483,TARA_123,26.576175
ERR599157,0.051638,150,ERS492778,marine epipelagic mixed layer (ENVO:xxxxxxxxx),5.023264,161.3185,35.88072,TARA_123,22.1151
ERR598998,0.051638,150,ERS492778,marine epipelagic mixed layer (ENVO:xxxxxxxxx),5.023264,161.3185,35.88072,TARA_123,22.1151
ERR599117,0.051638,150,ERS492778,marine epipelagic mixed layer (ENVO:xxxxxxxxx),5.023264,161.3185,35.88072,TARA_123,22.1151
ERR598956,0.051638,150,ERS492778,marine epipelagic mixed layer (ENVO:xxxxxxxxx),5.023264,161.3185,35.88072,TARA_123,22.1151
ERR594293,0.051638,150,ERS492781,marine epipelagic mixed layer (ENVO:xxxxxxxxx),5.023264,161.3185,35.88072,TARA_123,22.1151
ERR594337,0.051638,150,ERS492782,marine epipelagic mixed layer (ENVO:xxxxxxxxx),5.023264,161.3185,35.88072,TARA_123,22.1151
ERR594319,0.051638,150,ERS492783,marine epipelagic mixed layer (ENVO:xxxxxxxxx),5.023264,161.3185,35.88072,TARA_123,22.1151
ERR599036,0.286662,5,ERS492814,surface water layer (ENVO:00002042),5.111856,190.724,35.396729,TARA_124,26.518986
ERR599151,0.286662,5,ERS492814,surface water layer (ENVO:00002042),5.111856,190.724,35.396729,TARA_124,26.518986
ERR599069,0.286662,5,ERS492814,surface water layer (ENVO:00002042),5.111856,190.724,35.396729,TARA_124,26.518986
ERR599080,0.286662,5,ERS492814,surface water layer (ENVO:00002042),5.111856,190.724,35.396729,TARA_124,26.518986
ERR594287,0.286662,5,ERS492818,surface water layer (ENVO:00002042),5.111856,190.724,35.396729,TARA_124,26.518986
ERR594311,0.286662,5,ERS492819,surface water layer (ENVO:00002042),5.111856,190.724,35.396729,TARA_124,26.518986
ERR594296,0.286662,5,ERS492820,surface water layer (ENVO:00002042),5.111856,190.724,35.396729,TARA_124,26.518986
ERR588857,0.286662,5,ERS492821,surface water layer (ENVO:00002042),5.111856,190.724,35.396729,TARA_124,26.518986
ERR599354,0.286662,5,ERS492843,surface water layer (ENVO:00002042),5.111856,190.724,35.396729,TARA_124,26.518986
ERR599161,0.127609,120,ERS492863,marine epipelagic mixed layer (ENVO:xxxxxxxxx),4.458677,175.895625,35.797875,TARA_124,25.221787
ERR598988,0.127609,120,ERS492863,marine epipelagic mixed layer (ENVO:xxxxxxxxx),4.458677,175.895625,35.797875,TARA_124,25.221787
ERR599084,0.127609,120,ERS492863,marine epipelagic mixed layer (ENVO:xxxxxxxxx),4.458677,175.895625,35.797875,TARA_124,25.221787
ERR599089,0.127609,120,ERS492863,marine epipelagic mixed layer (ENVO:xxxxxxxxx),4.458677,175.895625,35.797875,TARA_124,25.221787
ERR594285,0.127609,120,ERS492866,marine epipelagic mixed layer (ENVO:xxxxxxxxx),4.458677,175.895625,35.797875,TARA_124,25.221787
ERR594343,0.127609,120,ERS492867,marine epipelagic mixed layer (ENVO:xxxxxxxxx),4.458677,175.895625,35.797875,TARA_124,25.221787
ERR594338,0.127609,120,ERS492868,marine epipelagic mixed layer (ENVO:xxxxxxxxx),4.458677,175.895625,35.797875,TARA_124,25.221787
ERR599367,0.127609,120,ERS492877,marine epipelagic mixed layer (ENVO:xxxxxxxxx),4.458677,175.895625,35.797875,TARA_124,25.221787
ERR599091,0.233673,5,ERS492888,surface water layer (ENVO:00002042),4.985942,187.302833,35.427733,TARA_125,26.780158
ERR599114,0.233673,5,ERS492888,surface water layer (ENVO:00002042),4.985942,187.302833,35.427733,TARA_125,26.780158
ERR599119,0.233673,5,ERS492888,surface water layer (ENVO:00002042),4.985942,187.302833,35.427733,TARA_125,26.780158
ERR599066,0.233673,5,ERS492888,surface water layer (ENVO:00002042),4.985942,187.302833,35.427733,TARA_125,26.780158
ERR594344,0.233673,5,ERS492892,surface water layer (ENVO:00002042),4.985942,187.302833,35.427733,TARA_125,26.780158
ERR594339,0.233673,5,ERS492893,surface water layer (ENVO:00002042),4.985942,187.302833,35.427733,TARA_125,26.780158
ERR594323,0.233673,5,ERS492894,surface water layer (ENVO:00002042),4.985942,187.302833,35.427733,TARA_125,26.780158
ERR599337,0.233673,5,ERS492903,surface water layer (ENVO:00002042),4.985942,187.302833,35.427733,TARA_125,26.780158
ERR599156,0.020173,140,ERS492926,marine epipelagic mixed layer (ENVO:xxxxxxxxx),3.67243,160.4895,36.272675,TARA_125,23.706525
ERR594341,0.020173,140,ERS492930,marine epipelagic mixed layer (ENVO:xxxxxxxxx),3.67243,160.4895,36.272675,TARA_125,23.706525
ERR594342,0.020173,140,ERS492931,marine epipelagic mixed layer (ENVO:xxxxxxxxx),3.67243,160.4895,36.272675,TARA_125,23.706525
ERR594300,0.020173,140,ERS492932,marine epipelagic mixed layer (ENVO:xxxxxxxxx),3.67243,160.4895,36.272675,TARA_125,23.706525
ERR599038,0.288205,5,ERS493044,surface water layer (ENVO:00002042),2.467162,179.86,35.100467,TARA_128,26.074467
ERR868462,0.288205,5,ERS493057,surface water layer (ENVO:00002042),2.467162,179.86,35.100467,TARA_128,26.074467
ERR599032,0.451256,40,ERS493098,deep chlorophyll maximum layer (ENVO:xxxxxxxx),4.36571,176.984778,35.135422,TARA_128,26.080233
ERR868384,0.000617,746,ERS493295,mesopelagic zone (ENVO:00000213),37.906806,21.905787,34.2192,TARA_131,4.669603
ERR599142,0.057131,5,ERS493300,surface water layer (ENVO:00002042),-0.979589,197.682417,35.181842,TARA_132,25.173925
ERR598995,0.276677,115,ERS493340,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.732507,225.501338,34.36909,TARA_132,15.284298
ERR598980,0.005017,550,ERS493372,mesopelagic zone (ENVO:00000213),29.0941,138.735952,34.000507,TARA_132,6.689724
ERR868490,0.005017,550,ERS493382,mesopelagic zone (ENVO:00000213),29.0941,138.735952,34.000507,TARA_132,6.689724
ERR599052,0.038221,5,ERS493390,surface water layer (ENVO:00002042),-0.673592,224.407583,33.099008,TARA_133,19.249733
ERR598942,0.436597,45,ERS493431,deep chlorophyll maximum layer (ENVO:xxxxxxxx),4.832723,227.686042,33.241367,TARA_133,13.159842
ERR599115,0.002017,650,ERS493460,mesopelagic zone (ENVO:00000213),44.082977,8.57745,34.329655,TARA_133,4.936634
ERR868378,0.245841,5,ERS493612,surface water layer (ENVO:00002042),-1.145148,201.216,34.52465,TARA_136,24.52735
ERR598989,0.290611,5,ERS493636,surface water layer (ENVO:00002042),3.241307,195.126917,33.884425,TARA_137,26.4091
ERR599099,99999,40,ERS493670,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,99999,TARA_137,99999
ERR598987,99999,40,ERS493670,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,99999,TARA_137,99999
ERR599070,99999,40,ERS493670,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,99999,TARA_137,99999
ERR599147,99999,40,ERS493670,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,99999,TARA_137,99999
ERR599340,99999,40,ERS493684,deep chlorophyll maximum layer (ENVO:xxxxxxxx),99999,99999,99999,TARA_137,99999
ERR599127,0.001625,375,ERS493705,mesopelagic zone (ENVO:00000213),35.716708,0.628413,34.586699,TARA_137,8.911481
ERR599015,0.001625,375,ERS493705,mesopelagic zone (ENVO:00000213),35.716708,0.628413,34.586699,TARA_137,8.911481
ERR599152,0.001625,375,ERS493705,mesopelagic zone (ENVO:00000213),35.716708,0.628413,34.586699,TARA_137,8.911481
ERR599076,0.001625,375,ERS493705,mesopelagic zone (ENVO:00000213),35.716708,0.628413,34.586699,TARA_137,8.911481
ERR599030,0.013449,5,ERS493752,surface water layer (ENVO:00002042),-1.184318,196.88275,33.407042,TARA_138,26.6362
ERR599087,0.334076,60,ERS493788,deep chlorophyll maximum layer (ENVO:xxxxxxxx),22.087762,77.038525,34.611755,TARA_138,19.048358
ERR599345,0.334076,60,ERS493803,deep chlorophyll maximum layer (ENVO:xxxxxxxx),22.087762,77.038525,34.611755,TARA_138,19.048358
ERR599051,0.002017,450,ERS493822,mesopelagic zone (ENVO:00000213),36.886053,0.78015,34.608434,TARA_138,8.210557
ERR599004,0.002017,450,ERS493822,mesopelagic zone (ENVO:00000213),36.886053,0.78015,34.608434,TARA_138,8.210557
ERR599060,0.002017,450,ERS493822,mesopelagic zone (ENVO:00000213),36.886053,0.78015,34.608434,TARA_138,8.210557
ERR599175,0.002017,450,ERS493822,mesopelagic zone (ENVO:00000213),36.886053,0.78015,34.608434,TARA_138,8.210557
ERR868420,0.4664,5,ERS493853,surface water layer (ENVO:00002042),2.892241,157.176,33.102675,TARA_139,26.273758
ERR599162,0.040695,5,ERS493877,surface water layer (ENVO:00002042),-3.796686,205.2885,28.919008,TARA_140,26.62925
ERR599029,0.126428,5,ERS493914,surface water layer (ENVO:00002042),-1.723962,195.523833,34.347208,TARA_141,27.119358
ERR599136,0.163338,5,ERS493938,surface water layer (ENVO:00002042),-2.2118,194.2675,36.193733,TARA_142,24.96555
ERR868430,0.163338,5,ERS493954,surface water layer (ENVO:00002042),-2.2118,194.2675,36.193733,TARA_142,24.96555
ERR599100,0.164483,125,ERS493981,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.439852,192.971638,36.172194,TARA_142,24.948842
ERR598985,0.008069,640,ERS494006,mesopelagic zone (ENVO:00000213),31.851193,108.240083,35.165658,TARA_142,9.756257
ERR598983,0.296307,5,ERS494170,surface water layer (ENVO:00002042),3.478193,233.859,35.18335,TARA_145,14.11885
