RUN,Chlorophyll,Depth,ENA-SAMPLE,Environment (Feature),Nitrate Sensor,Oxygen Sensor,Salinity Sensor,Sampling Station,Temperature
ERR599116,0,5,ERS488569,surface water layer (ENVO:00002042),-0.541919,188.416583,39.74725,TARA_032,25.824383
ERR599041,0,5,ERS488569,surface water layer (ENVO:00002042),-0.541919,188.416583,39.74725,TARA_032,25.824383
ERR594393,0,5,ERS488589,surface water layer (ENVO:00002042),-0.541919,188.416583,39.74725,TARA_032,25.824383
ERR599097,0.224444,80,ERS488599,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.201064,179.968,40.196433,TARA_032,26.050367
ERR599061,0.224444,80,ERS488599,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.201064,179.968,40.196433,TARA_032,26.050367
ERR594360,0.224444,80,ERS488613,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.201064,179.968,40.196433,TARA_032,26.050367
ERR599134,0.163228,5,ERS488621,surface water layer (ENVO:00002042),-0.000271,182.812167,38.937417,TARA_033,27.329517
ERR599049,0.163228,5,ERS488621,surface water layer (ENVO:00002042),-0.000271,182.812167,38.937417,TARA_033,27.329517
ERR598991,0.186697,5,ERS488649,surface water layer (ENVO:00002042),-0.927087,184.061167,38.646858,TARA_034,27.59865
ERR598959,0.186697,5,ERS488649,surface water layer (ENVO:00002042),-0.927087,184.061167,38.646858,TARA_034,27.59865
ERR594328,0.186697,5,ERS488658,surface water layer (ENVO:00002042),-0.927087,184.061167,38.646858,TARA_034,27.59865
ERR594368,0.186697,5,ERS488673,surface water layer (ENVO:00002042),-0.927087,184.061167,38.646858,TARA_034,27.59865
ERR594370,0.186697,5,ERS488673,surface water layer (ENVO:00002042),-0.927087,184.061167,38.646858,TARA_034,27.59865
ERR598975,0.181406,60,ERS488685,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.08645,175.384083,38.916583,TARA_034,27.589917
ERR599111,0.181406,60,ERS488685,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.08645,175.384083,38.916583,TARA_034,27.589917
ERR594390,0.181406,60,ERS488701,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.08645,175.384083,38.916583,TARA_034,27.589917
ERR599143,0.129697,5,ERS488714,surface water layer (ENVO:00002042),99999,104.908417,36.530058,TARA_036,25.581433
ERR598966,0.129697,5,ERS488714,surface water layer (ENVO:00002042),99999,104.908417,36.530058,TARA_036,25.581433
ERR594334,0.129697,5,ERS488722,surface water layer (ENVO:00002042),99999,104.908417,36.530058,TARA_036,25.581433
ERR594369,0.129697,5,ERS488737,surface water layer (ENVO:00002042),99999,104.908417,36.530058,TARA_036,25.581433
ERR598974,0.353707,17,ERS488747,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.367767,211.606583,36.549267,TARA_036,25.37395
ERR599028,0.353707,17,ERS488747,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.367767,211.606583,36.549267,TARA_036,25.37395
ERR594402,0.353707,17,ERS488757,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.367767,211.606583,36.549267,TARA_036,25.37395
ERR599062,0.005649,600,ERS488769,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),31.802451,1.63999,35.693546,TARA_037,12.066048
ERR599031,0.005649,600,ERS488769,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),31.802451,1.63999,35.693546,TARA_037,12.066048
ERR594345,0.005649,600,ERS488773,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),31.802451,1.63999,35.693546,TARA_037,12.066048
ERR594290,0.005649,600,ERS488773,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),31.802451,1.63999,35.693546,TARA_037,12.066048
ERR599158,0.161808,5,ERS488799,surface water layer (ENVO:00002042),0.889376,199.9355,36.617917,TARA_038,26.2314
ERR599102,0.161808,5,ERS488799,surface water layer (ENVO:00002042),0.889376,199.9355,36.617917,TARA_038,26.2314
ERR594330,0.161808,5,ERS488803,surface water layer (ENVO:00002042),0.889376,199.9355,36.617917,TARA_038,26.2314
ERR594400,0.161808,5,ERS488813,surface water layer (ENVO:00002042),0.889376,199.9355,36.617917,TARA_038,26.2314
ERR594374,0.161808,5,ERS488813,surface water layer (ENVO:00002042),0.889376,199.9355,36.617917,TARA_038,26.2314
ERR598949,0.604752,25,ERS488830,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.230122,154.699917,99999,TARA_038,25.494408
ERR599082,0.604752,25,ERS488830,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.230122,154.699917,99999,TARA_038,25.494408
ERR594399,0.604752,25,ERS488836,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.230122,154.699917,99999,TARA_038,25.494408
ERR594386,0.604752,25,ERS488836,deep chlorophyll maximum layer (ENVO:xxxxxxxx),1.230122,154.699917,99999,TARA_038,25.494408
ERR599167,0.014107,340,ERS488849,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),22.444602,2.369225,36.021302,TARA_038,14.987618
ERR599109,0.014107,340,ERS488849,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),22.444602,2.369225,36.021302,TARA_038,14.987618
ERR594312,0.014107,340,ERS488853,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),22.444602,2.369225,36.021302,TARA_038,14.987618
ERR594327,0.099089,5,ERS488879,surface water layer (ENVO:00002042),-1.415582,193.3535,36.285367,TARA_039,26.81765
ERR594365,0.099089,5,ERS488892,surface water layer (ENVO:00002042),-1.415582,193.3535,36.285367,TARA_039,26.81765
ERR594356,0.099089,5,ERS488892,surface water layer (ENVO:00002042),-1.415582,193.3535,36.285367,TARA_039,26.81765
ERR599145,0.17638,25,ERS488916,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.611888,192.95875,36.332317,TARA_039,26.812225
ERR594397,0.17638,25,ERS488929,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.611888,192.95875,36.332317,TARA_039,26.812225
ERR594363,0.17638,25,ERS488929,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.611888,192.95875,36.332317,TARA_039,26.812225
ERR599172,0.006724,270,ERS488936,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),19.566542,2.303017,35.901885,TARA_039,15.614195
ERR599037,0.006724,270,ERS488936,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),19.566542,2.303017,35.901885,TARA_039,15.614195
ERR594346,0.006724,270,ERS488945,mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065),19.566542,2.303017,35.901885,TARA_039,15.614195
ERR599011,0.020173,5,ERS489043,surface water layer (ENVO:00002042),-1.343153,187.42925,36.024883,TARA_041,29.089367
ERR599074,0.020173,5,ERS489043,surface water layer (ENVO:00002042),-1.343153,187.42925,36.024883,TARA_041,29.089367
ERR594295,0.020173,5,ERS489047,surface water layer (ENVO:00002042),-1.343153,187.42925,36.024883,TARA_041,29.089367
ERR868486,0.020173,5,ERS489053,surface water layer (ENVO:00002042),-1.343153,187.42925,36.024883,TARA_041,29.089367
ERR594384,0.020173,5,ERS489059,surface water layer (ENVO:00002042),-1.343153,187.42925,36.024883,TARA_041,29.089367
ERR599053,0.47554,60,ERS489074,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.224514,148.328125,36.496162,TARA_041,27.117663
ERR598977,0.47554,60,ERS489074,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.224514,148.328125,36.496162,TARA_041,27.117663
ERR594367,0.47554,60,ERS489084,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.224514,148.328125,36.496162,TARA_041,27.117663
ERR594366,0.47554,60,ERS489084,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.224514,148.328125,36.496162,TARA_041,27.117663
ERR594371,0.47554,60,ERS489084,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.224514,148.328125,36.496162,TARA_041,27.117663
ERR594372,0.47554,60,ERS489084,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.224514,148.328125,36.496162,TARA_041,27.117663
ERR594373,0.47554,60,ERS489084,deep chlorophyll maximum layer (ENVO:xxxxxxxx),-0.224514,148.328125,36.496162,TARA_041,27.117663
ERR599075,0.006724,5,ERS489087,surface water layer (ENVO:00002042),-1.47882,189.25475,34.56155,TARA_042,29.980283
