"ENA-SAMPLE","Temp","Region","Depth","Salinity","Nitrates","NO2NO3","Chl","NO2","Oxygen","PO4","MGII"
"ERS490035","21.81684","IO","5","36.2","1.6","0.05","0.215292","0.01","228.5","0.01","4.51304229378"
"ERS490045","21.81684","IO","5","","","","0.215292","","","",""
"ERS490053","21.81684","IO","5","35.5","18.2","18.03","0.215292","0.01","175.3","1.12","0.344125694141"
"ERS490065","8.4127","IO","850","36.3","-0.3","0.17","0","0.04","228.4","0.01","12.2777377471"
"ERS490085","21.81495","IO","30","36.4","-1.2","0.68","0.272648","0.25","220.2","0.06","116.476726821"
"ERS490089","21.81495","IO","30","35.4","21.3","21.11","0.272648","0.01","155.2","1.36","6.91153969742"
"ERS490120","21.81495","IO","30","36.2","1.2","0.17","0.272648","0.04","230.1","0","0.341748712768"
"ERS490124","15.033492","SAO","5","37.9","","0.02","0.250054","0.03","237.9","0.01","23.037261903"
"ERS490142","15.033492","SAO","5","37.9","","0.02","0.250054","0.03","237.9","0.01","0.156874561162"
"ERS490163","15.01895","SAO","30","36","3","2.16","0.424363","0.31","243.1","0.16","14.8257359644"
"ERS490180","15.01895","SAO","30","36","3.8","2.26","0.424363","0.32","239.4","0.17","0.353692720316"
"ERS490183","12.83445","SAO","5","37.9","","0.12","1.551493","0.02","207.8","0.03","3.08048872521"
"ERS490192","12.83445","SAO","5","37.9","","0.12","1.551493","0.02","207.8","0.03","1.54144437898"
"ERS490193","12.83445","SAO","5","37.8","","0.21","1.551493","0.07","220.9","0.02","0.559005507487"
"ERS490201","12.83445","SAO","5","","","","1.551493","","","",""
"ERS490204","12.83445","SAO","5","38.4","","0.05","1.551493","0.01","224.3","0.01","0.501628237524"
"ERS490230","7.026748","SAO","700","38.2","","0.03","0.011208","0","218","0.01","25.6342264777"
"ERS490238","7.026748","SAO","700","38.2","","0.03","0.011208","0","218","0.01","18.7530330028"
"ERS490265","16.832058","SAO","5","39.3","0.3","0.02","0.201517","0.01","218.1","0","12.5523605386"
"ERS490272","16.832058","SAO","5","39.3","0.3","0.02","0.201517","0.01","218.1","0","8.54761165638"
"ERS490273","16.832058","SAO","5","39.4","-0.7","0.05","0.201517","0","207.6","0","16.1150147439"
"ERS490285","16.832058","SAO","5","40","-0.1","0.03","0.201517","0.01","188.8","0.02","0.315880387121"
"ERS490296","16.787411","SAO","50","38.4","","0.05","0.42458","0.01","224.3","0.01","18.467242318"
"ERS490303","16.787411","SAO","50","38.2","","0.04","0.42458","0.01","220","0.01","17.3639599235"
"ERS490304","16.787411","SAO","50","38.5","","0.15","0.42458","0.07","229.5","0.07","19.3990571785"
"ERS490314","16.787411","SAO","50","","","","0.42458","","","",""
"ERS490320","16.787411","SAO","50","38.5","","0.15","0.42458","0.07","229.5","0.07","0.192086462728"
"ERS490327","19.776808","SAO","5","39.7","-0.5","0","0.324315","0.01","188.4","0.02","41.9329938344"
"ERS490336","19.776808","SAO","5","38.9","0","0","0.324315","0","182.8","0.05","29.4838908448"
"ERS490337","19.776808","SAO","5","38.9","0.1","0.64","0.324315","0.27","175.4","0.09","37.7937486255"
"ERS490343","19.776808","SAO","5","","","","0.324315","","","",""
"ERS490346","19.776808","SAO","5","38.9","0.1","0.64","0.324315","0.27","175.4","0.09","0.255093647681"
"ERS490373","4.216697","SAO","800","40","-0.1","0.03","0.003811","0.01","188.8","0.02","6.09157251293"
"ERS490380","4.216697","SAO","800","40.2","1.2","0.01","0.003811","0.01","180","0.03","6.29887077693"
"ERS490382","4.216697","SAO","800","40.2","1.2","0.01","0.003811","0.01","180","0.03","3.0017481944"
"ERS490387","4.216697","SAO","800","","","","0.003811","","","",""
"ERS490388","4.216697","SAO","800","39.7","-0.5","0","0.003811","0.01","188.4","0.02","0.0780638120633"
"ERS490433","25.02619","SAO","5","36.5","0.4","2.08","0.050608","0.51","211.6","0.51","59.5859889639"
"ERS490448","25.02619","SAO","5","","","","0.050608","","","",""
"ERS490452","25.02619","SAO","5","36.5","","0.13","0.050608","0.05","210.9","0.37","0.473326046398"
"ERS490476","24.112672","SAO","100","38.6","-0.9","0.03","0.263939","0.02","184.1","0.19","15.2581851715"
"ERS490490","24.112672","SAO","100","","","","0.263939","","","",""
"ERS490494","24.112672","SAO","100","38.6","-0.9","0.03","0.263939","0.02","184.1","0.19","0.837231782649"
"ERS490507","4.673875","SAO","800","38.6","-0.9","0.03","0","0.02","184.1","0.19","31.7168546602"
"ERS490521","4.673875","SAO","800","","","","0","","","",""
"ERS490522","4.673875","SAO","800","36.5","0.4","2.08","0","0.51","211.6","0.51","0.0703950198487"
"ERS490542","23.349542","SAO","5","36","22.4","23.43","0.033622","0.69","2.4","2.64","15.9573312796"
"ERS490547","23.349542","SAO","5","36","22.4","23.43","0.033622","0.69","2.4","2.64","12.1509870334"
"ERS490548","23.349542","SAO","5","36.6","0.9","0.06","0.033622","0.01","199.9","0.32","14.6086405075"
"ERS490553","23.349542","SAO","5","","","","0.033622","","","",""
"ERS490557","23.349542","SAO","5","36.6","0.9","0.06","0.033622","0.01","199.9","0.32","0.304316727225"
"ERS490597","21.643283","SAO","150","36.5","","0.13","0.150865","0.05","210.9","0.37","31.5145318146"
"ERS490602","21.643283","SAO","150","36.5","","0.13","0.150865","0.05","210.9","0.37","16.7666630442"
"ERS490603","21.643283","SAO","150","35.7","31.8","30.52","0.150865","0.07","1.6","2.91","30.0746909652"
"ERS490607","21.643283","SAO","150","","","","0.150865","","","",""
"ERS490610","21.643283","SAO","150","35.7","31.8","30.52","0.150865","0.07","1.6","2.91","0.295488038179"
"ERS490633","4.749588","SAO","800","","1.2","1.86","0","0.7","154.7","0.42","7.6655907927"
"ERS490643","4.749588","SAO","800","","1.2","1.86","0","0.7","154.7","0.42","2.82985322228"
"ERS490659","19.854083","SAO","5","36.3","-1.4","0.03","0.053173","0.01","193.4","0.23","6.02247595883"
"ERS490664","19.854083","SAO","5","36.3","-1.4","0.03","0.053173","0.01","193.4","0.23","6.00388826984"
"ERS490665","19.854083","SAO","5","36.6","","","0.053173","","","","10.0369672026"
"ERS490676","19.854083","SAO","5","36.6","","","0.053173","","","","0.314854751828"
"ERS490691","19.30925","SAO","120","36.6","0.9","0.06","0.226052","0.01","199.9","0.32","24.3472023842"
"ERS490696","19.30925","SAO","120","36.3","-0.6","0.09","0.226052","0.02","193","0.26","19.6011728308"
"ERS490697","19.30925","SAO","120","36.3","-0.6","0.09","0.226052","0.02","193","0.26","19.2657558451"
"ERS490714","5.8659","SAO","800","35.9","19.6","21.22","0","2.07","2.3","2.64","10.0595744778"
"ERS490722","5.8659","SAO","800","35.9","19.6","21.22","0","2.07","2.3","2.64","5.81259492084"
"ERS490885","7.321517","SAO","5","36","-1.3","0.09","0.310844","0","187.4","0.14","3.25038599141"
"ERS490900","7.321517","SAO","5","","","","0.310844","","","","0.00878968044881"
"ERS490928","6.975635","SAO","40","36.5","-0.2","0.49","1.01772","0.07","148.3","0.34","7.59895185891"
"ERS490953","6.975635","SAO","40","36.5","-0.2","0.49","1.01772","0.07","148.3","0.34","0.00738673893319"
"ERS491001","1.84402","SO","5","36","-1.3","0.09","0.109555","0","187.4","0.14","0.405383871905"
"ERS491044","0.67108","SO","5","34.6","-1.5","0.03","0.065273","0","189.3","0.08","0.316255150485"
"ERS491063","0.67108","SO","5","","","","0.065273","","","","0.024051646368"
"ERS491095","-0.78154","SO","90","36","-1.3","0.09","0.540091","0","187.4","0.14","0.401904130418"
"ERS491107","-0.78154","SO","90","35.1","0.6","1.39","0.540091","0.15","132.8","0.34","0.00571041288778"
"ERS491110","0.45883","SO","790","35.1","0.6","1.39","0.010087","0.15","132.8","0.34","18.5177705935"
"ERS491421","18.014508","SPO","5","35.1","2.6","28.64","0.387495","0.02","185.2","1.94","0.233594987539"
"ERS491433","18.014508","SPO","5","","","","0.387495","","","",""
"ERS491463","16.40115","SPO","35","34.6","-1.5","0.03","1.104727","0","189.3","0.08","0.108014438229"
"ERS491492","21.131962","SPO","5","35.1","0.5","0.05","0.147822","0","185.7","0.1","0.334156753303"
"ERS491514","22.413508","SPO","5","","","","0.139594","","","",""
"ERS491525","23.799133","SPO","5","34.2","-2.2","0.06","0.044093","0.01","187.3","0.08","1.19579334785"
"ERS491673","18.334334","SPO","175","","","","0.203442","","","",""
"ERS491699","25.14875","SPO","5","34.9","0.2","0.47","0.013449","0.03","192.6","0.18","10.1824650727"
"ERS491740","20.171605","SPO","188","34.2","-2.2","0.06","0.176523","0.01","187.3","0.08","20.7568687339"
"ERS491757","20.171605","SPO","188","","","","0.176523","","","",""
"ERS491767","8.113126","SPO","488","34.9","0.2","0.47","0","0.03","192.6","0.18","12.084490783"
"ERS491804","23.788833","SPO","5","34.6","","0","0.037733","0","191.7","0.12","4.38012279931"
"ERS491836","25.2512","SPO","5","35.1","","0","0.287892","0.02","190.1","0","9.24962370637"
"ERS491851","25.2512","SPO","5","","","","0.287892","","","","0.0191515931557"
"ERS491874","20.649431","SPO","50","34.8","","","0.366887","","88.2","","20.5446232906"
"ERS491897","20.649431","SPO","50","","","","0.366887","","","","0.893058382151"
"ERS491913","13.014573","SPO","177","35","","","0.121464","","193.1","","10.0806380124"
"ERS491930","13.014573","SPO","177","","","","0.121464","","","","0.024680078767"
"ERS491938","24.943108","SPO","5","35.3","-0.1","0.02","0.238224","0","207.4","0.08","11.2830538867"
"ERS491980","9.195825","SPO","480","35.3","-0.2","","0.010087","","199.9","","23.8269644877"
"ERS491995","9.195825","SPO","480","","","","0.010087","","","","0.0361836393419"
"ERS492012","19.566255","SPO","40","35.2","0.8","0.06","0.728939","0.03","185","0","16.7996107413"
"ERS492117","10.193037","SPO","380","","","","0","","","",""
"ERS492145","27.617558","SPO","5","35.3","","0","0.28167","0","210","0.08","33.6255689772"
"ERS492154","27.617558","SPO","5","","","","0.28167","","","",""
"ERS492160","27.617558","SPO","5","35.3","","0","0.28167","0","210","0.08","0.159597981894"
"ERS492177","26.532035","SPO","30","35.3","-0.1","0.02","0.737378","0","207.4","0.08","49.7573242935"
"ERS492198","26.532035","SPO","30","35.3","-0.1","0.02","0.737378","0","207.4","0.08","0.291199771082"
"ERS492205","11.3158","SPO","380","34.6","","15.24","0","0","193","1.12","18.9543589144"
"ERS492212","11.3158","SPO","380","","","","0","","","",""
"ERS492228","23.8683","SPO","5","","","","0.317793","","206.4","","12.2128289421"
"ERS492243","23.8683","SPO","5","","","","0.317793","","","",""
"ERS492264","21.814577","SPO","50","","","","0.460366","","206.4","","27.4694431358"
"ERS492279","21.814577","SPO","50","","","","0.460366","","","",""
"ERS492294","10.2584","SPO","380","","","","0","","206.4","","13.7282888257"
"ERS492306","10.2584","SPO","380","","","","0","","","",""
"ERS492321","22.76873","SPO","5","35.4","","","0.203347","","207","","21.021457869"
"ERS492342","22.76873","SPO","5","","","","0.203347","","","","0.0118754666214"
"ERS492357","19.881449","SPO","90","34.7","","","0.378549","","198","","16.380434067"
"ERS492376","19.881449","SPO","90","","","","0.378549","","","","0.07549284555"
"ERS492381","10.893125","SPO","350","35.4","","","0","","207","","11.5768132792"
"ERS492399","10.893125","SPO","350","","","","0","","","","0.0457737246277"
"ERS492408","24.237467","SPO","5","35.3","","3.23","0.04895","0.26","240.4","0.37","8.49121433422"
"ERS492426","24.237467","SPO","5","","","","0.04895","","","",""
"ERS492445","22.261435","SPO","155","35.4","","","0.222552","","207","","14.3039609755"
"ERS492461","22.261435","SPO","155","","","","0.222552","","","",""
"ERS492471","5.791448","SPO","696","35.3","","3.23","0","0.26","240.4","0.37","3.0435026848"
"ERS492516","23.791908","SPO","5","","","","0.142584","","","",""
"ERS492642","26.54413","SPO","5","35.7","","1.08","0.166512","0.29","231.7","0.23","40.8751937133"
"ERS492646","26.54413","SPO","5","35.7","","1.08","0.166512","0.29","231.7","0.23","1.69085171104"
"ERS492647","26.54413","SPO","5","34.5","25.8","22.08","0.166512","0","195.2","1.53","60.0972527559"
"ERS492648","26.54413","SPO","5","34.5","25.8","22.08","0.166512","0","195.2","1.53","25.0628869893"
"ERS492657","26.54413","SPO","5","","","","0.166512","","","","0.0542749510861"
"ERS492680","7.212238","SPO","600","34.8","0.4","7.09","0","0.17","249.4","1.02","37.0840661538"
"ERS492683","7.212238","SPO","600","34.8","0.4","7.09","0","0.17","249.4","1.02","0.254533611094"
"ERS492684","7.212238","SPO","600","35.7","","1.08","0","0.29","231.7","0.23","8.30616317781"
"ERS492685","7.212238","SPO","600","35.7","","1.08","0","0.29","231.7","0.23","4.46344190773"
"ERS492692","7.212238","SPO","600","","","","0","","","","0.0355037047281"
"ERS492699","24.69625","SPO","115","35.3","2.5","3.34","0.295808","0.3","238.9","0.34","5.791416912"
"ERS492703","24.69625","SPO","115","35.3","2.5","3.34","0.295808","0.3","238.9","0.34","0.489742630772"
"ERS492704","24.69625","SPO","115","34.8","0.4","7.09","0.295808","0.17","249.4","1.02","8.13196090345"
"ERS492705","24.69625","SPO","115","34.8","0.4","7.09","0.295808","0.17","249.4","1.02","5.53548847703"
"ERS492714","24.69625","SPO","115","","","","0.295808","","","","0.348724772001"
"ERS492733","26.576175","SPO","5","","","0.03","0.319103","0","","0.01","53.851696356"
"ERS492738","26.576175","SPO","5","37.5","","0.03","0.319103","0","","0.06","23.180045025"
"ERS492739","26.576175","SPO","5","34.4","37.8","36.73","0.319103","0.01","161.7","2.52","51.3387264029"
"ERS492748","26.576175","SPO","5","","","","0.319103","","","","0.0574780405379"
"ERS492778","22.1151","SPO","150","35.7","","1.3","0.051638","0.25","231.9","0.23","21.6399825781"
"ERS492781","22.1151","SPO","150","35.7","","1.3","0.051638","0.25","231.9","0.23","0.994422110324"
"ERS492782","22.1151","SPO","150","35.7","","1.3","0.051638","0.25","231.9","0.23","5.62261014561"
"ERS492783","22.1151","SPO","150","35.7","","1.3","0.051638","0.25","231.9","0.23","2.03064523773"
"ERS492814","26.518986","SPO","5","","","","0.286662","","","","151.710184932"
"ERS492818","26.518986","SPO","5","36.4","0.2","0.99","0.286662","0.05","215.7","0.36","2.77574361242"
"ERS492819","26.518986","SPO","5","36.4","0.2","0.99","0.286662","0.05","215.7","0.36","44.1287939301"
"ERS492820","26.518986","SPO","5","36.6","0.2","0.04","0.286662","0.01","194.4","0.14","21.3580302724"
"ERS492821","26.518986","SPO","5","","","","0.286662","","","",""
"ERS492843","26.518986","SPO","5","","","","0.286662","","","","0.0421647692981"
"ERS492863","25.221787","SPO","120","34.4","37.8","36.73","0.127609","0.01","161.7","2.52","110.667074321"
"ERS492866","25.221787","SPO","120","34.4","37.8","36.73","0.127609","0.01","161.7","2.52","1.68605984872"
"ERS492867","25.221787","SPO","120","34.4","37.8","36.73","0.127609","0.01","161.7","2.52","18.3685915998"
"ERS492868","25.221787","SPO","120","36.4","0.2","0.99","0.127609","0.05","215.7","0.36","20.8047222087"
"ERS492877","25.221787","SPO","120","","","","0.127609","","","","0.183283158083"
"ERS492888","26.780158","SPO","5","36.7","0.6","0","0.233673","0.02","203.8","0.04","212.511015629"
"ERS492892","26.780158","SPO","5","36.4","0.3","0.02","0.233673","0","199.1","0.1","2.34818196187"
"ERS492893","26.780158","SPO","5","36.7","0.6","0","0.233673","0.02","203.8","0.04","2.94255386691"
"ERS492894","26.780158","SPO","5","36.7","0.6","0","0.233673","0.02","203.8","0.04","4.94249177943"
"ERS492903","26.780158","SPO","5","","","","0.233673","","","","0.0221072517871"
"ERS492926","23.706525","SPO","140","34.5","38.4","36.98","0.020173","0.01","143.2","2.62","4.13561816621"
"ERS492930","23.706525","SPO","140","36.6","0.2","0.04","0.020173","0.01","194.4","0.14","0.206057459939"
"ERS492931","23.706525","SPO","140","34.5","38.4","36.98","0.020173","0.01","143.2","2.62","61.8674193966"
"ERS492932","23.706525","SPO","140","36.4","0.3","0.02","0.020173","0","199.1","0.1","54.050990654"
"ERS493044","26.074467","SPO","5","34.4","34.6","12.08","0.288205","0","192.2","0.94","47.6589648667"
"ERS493057","26.074467","SPO","5","","","","0.288205","","","",""
"ERS493098","26.080233","SPO","40","36.7","0.6","0","0.451256","0.02","203.8","0.04","60.71989786"
"ERS493295","4.669603","NPO","746","","","","0.000617","","","",""
"ERS493300","25.173925","NPO","5","37.1","0","0","0.057131","0","206.2","0.06","17.9983755342"
"ERS493340","15.284298","NPO","115","34.4","34.6","12.08","0.276677","0","192.2","0.94","7.50516821026"
"ERS493372","6.689724","NPO","550","37.1","0","0","0.005017","0","206.2","0.06","8.32212937036"
"ERS493382","6.689724","NPO","550","","","","0.005017","","","",""
"ERS493390","19.249733","NPO","5","36.3","0.5","0.1","0.038221","0.05","217.1","0","1.29421357915"
"ERS493431","13.159842","NPO","45","37.1","0","0","0.436597","0","206.2","0.06","6.38175431337"
"ERS493460","4.936634","NPO","650","37.1","0","0","0.002017","0","206.2","0.06","11.6222863447"
"ERS493612","24.52735","NPO","5","","","","0.245841","","","",""
"ERS493636","26.4091","NPO","5","34.4","29.8","28.21","0.290611","0","214.8","1.95","17.0844790811"
"ERS493670","","NPO","40","36.3","0.5","0.1","","0.05","217.1","0","4.21089897733"
"ERS493684","","NPO","40","","","","","","","","0.7272628224"
"ERS493705","8.911481","NPO","375","36.3","0.5","0.1","0.001625","0.05","217.1","0","4.54632870831"
"ERS493752","26.6362","NPO","5","36.3","-0.4","0.02","0.013449","0","221.5","0","29.5887731102"
"ERS493788","19.048358","NPO","60","34.4","29.8","28.21","0.334076","0","214.8","1.95","10.0903978269"
"ERS493803","19.048358","NPO","60","","","","0.334076","","","","0.158522280299"
"ERS493822","8.210557","NPO","450","36.3","-0.4","0.02","0.002017","0","221.5","0","4.92196523832"
"ERS493853","26.273758","NPO","5","","","","0.4664","","","",""
"ERS493877","26.62925","NPO","5","36.3","-0.4","0.02","0.040695","0","221.5","0","12.5552500876"
"ERS493914","27.119358","NAO","5","36.3","-0.4","0.02","0.126428","0","221.5","0","4.40067987612"
"ERS493938","24.96555","NAO","5","34","17.1","18.15","0.163338","0.15","305","1.3","54.0559714167"
"ERS493954","24.96555","NAO","5","","","","0.163338","","","",""
"ERS493981","24.948842","NAO","125","34.1","17.1","19.07","0.164483","0.14","306.2","1.42","65.3936371116"
"ERS494006","9.756257","NAO","640","34.1","17.1","19.07","0.008069","0.14","306.2","1.42","6.9159386232"
"ERS494170","14.11885","NAO","5","34.3","33.1","31","0.296307","0.06","325.4","2.31","7.2634084207"
"ERS494208","5.067239","NAO","590","33.7","24.4","25.3","0.008351","0.27","338.3","1.72","14.7936374601"
