Station,SAMEA2619923_17,SAMEA2620078_38,SAMEA2620879_23,SAMEA2621061_122,SAMEA2621085_65,SAMEA2621151_104,SAMEA2621151_40,contig__154566,contig__154592,contig__154676,contig__154680,contig__155057,contig__155688,contig__155773,contig__156409,contig__172037
Eilat_gDNA_12,0.000458295005929,0.0,0.0,0.00132516909715,0.0133086831883,0.00459352227803,0.0204321882477,0.113381519989,0.116171875042,0.390253359714,0.0512331325523,0.0834758507543,0.0820509696199,0.0221772944618,0.0454883833535,0.161808581142
Eilat_gDNA_18,0.0,0.0,0.000479814023205,0.00126722790451,0.00965479813192,0.00488075205163,0.0178759407624,0.0820621387034,0.105467487242,0.259136475117,0.0419309754152,0.0904223537986,0.061649817462,0.0164359076875,0.03434168406,0.149575933112
Eilat_gDNA_24,0.000461751243604,0.0,0.0,0.00267032575385,0.0115595265461,0.00874208828336,0.0297844020072,0.11558054804,0.183227017202,0.344599145105,0.0511544672681,0.133228884133,0.0767647753428,0.0508338394492,0.0783958749412,0.27404375481
Eilat_gDNA_6,0.0,0.0,0.0,0.00377671069117,0.0121636091203,0.0104731719053,0.0330803962232,0.158526482084,0.18985171639,0.365156700018,0.0686658583178,0.142742902174,0.108698890373,0.0516700334035,0.0982543555784,0.292502038998
Eilat_vDNA_12,0.00513183684045,0.00731105824528,0.00122140415321,0.0270969537083,0.180752989944,0.0897037087016,0.234719109492,1.5997289793,2.62390293975,2.23726694451,0.760652828289,4.94988831151,1.97166718622,1.09725861894,0.871474732427,3.49433866375
Eilat_vDNA_18,0.0194306727638,0.0121834351727,0.0011818428079,0.0284389036918,0.274562369078,0.153880466825,0.391156538424,2.5226035633,3.61036193963,5.28668824194,1.53907274067,6.86435326671,2.84659283323,1.86051014566,1.54764572778,8.29771825761
Eilat_vDNA_24,0.0109492458585,0.00643951086637,0.00253581714114,0.0276009920874,0.287177186159,0.20284072976,0.483157394908,2.21874630638,4.80801628047,3.96395939556,1.41572857959,7.54802629761,2.85449181246,1.44433311878,1.60101297117,12.2980231696
Eilat_vDNA_6,0.00759304395397,0.0038011179168,0.000692754015482,0.00975797206889,0.0906071916035,0.0975983856256,0.257191962687,1.20138571355,2.34501397426,1.18114565444,0.243115146733,3.22554041417,1.31087185653,0.712668881205,0.989444699896,6.94893059659
TARA_004,0.000391555778972,0.00611287650423,0.0020068697993,0.000835337628133,0.00554723463744,0.00281977576105,0.00896456564574,0.0264597062266,0.00344729870344,0.00906404280169,0.00164463928606,0.000679825608243,0.00249842960712,0.00106075442664,0.00226964012785,0.00060703015159
TARA_007,0.00521103223906,0.00858044189631,0.00143204386895,0.00458210447444,0.0070315914212,0.0083760252102,0.0745993196229,0.428886499514,0.0136894474957,0.222491003675,0.00957575155976,0.0282937554323,0.0701816898184,0.0339434696268,0.00199296886169,0.455689676515
TARA_009,0.00014458234576,0.00582896980199,0.000596636469768,0.000737673694246,0.0256733477008,0.00356507809645,0.0163100827509,0.0275007278686,0.00683615366475,0.00874738156181,0.00232040658543,0.000428328223775,0.00145683679871,0.00169340412582,0.00210667902084,0.00276365644322
TARA_018,0.00763209609301,0.0227808004901,0.00401802964738,0.00809581374184,0.345240586841,0.502819845057,0.0863906595381,0.17490391309,0.070693639712,0.129495056315,0.192732799775,0.0817826356451,0.0243948454011,0.0928768950435,0.0707340178794,0.0204227340292
TARA_022,0.00948344376544,0.0709346524575,0.0096425988479,0.0348186771961,0.0466981382765,0.139883820215,0.0977592264848,0.117737181389,0.0317925757421,0.501040772434,0.0550974954454,0.152683562113,4.7099728482,0.139804396715,0.025024851122,0.00113654321589
TARA_023,0.00648831660878,0.0399392740777,0.00682873877694,0.0104935295045,0.0327859358009,0.146360165226,0.0436333329875,0.0696591473122,0.0212927856853,0.18553441317,0.0234277203487,0.0329114393226,0.175309507362,0.0926543948798,0.0283760156528,0.000316191411298
TARA_025,0.00573377912167,0.0156452789151,0.00754806191978,0.00884215166433,0.0373892379185,0.254760405698,0.0458877596114,0.0530399665269,0.0433041674742,0.0801260958184,0.0126496455475,0.0076524041453,0.286253742616,0.0297509684957,0.0576878653715,0.00107420931562
TARA_030,0.0438299719847,0.00769383439529,0.00525076786385,0.00335336307916,0.00531168268603,0.0889319993104,0.017886665856,0.00399501290456,0.0180821026513,0.00598468559775,0.00107086803006,0.00877989028976,0.00300477413474,0.00241142806742,0.00669015934094,0.00130913315958
TARA_031,0.133402400084,0.073785221675,0.0102999120159,0.147473917783,0.488212180924,0.137502153012,0.862443750031,0.150568710805,1.13231083488,0.309224607449,0.147773469842,0.0843403854592,0.258731848615,0.217714231828,0.690915036651,0.246935278311
TARA_032,0.0682229546017,0.060324761433,0.00778699548465,0.0582459537189,0.204965974077,0.0976626576678,0.309177028727,0.0789221000157,0.424528144431,0.124730238797,0.0810047094501,0.021746616144,0.082552886645,0.106354296352,0.239171117947,0.0512769334099
TARA_033,0.00194639658491,0.0161374290869,0.00100292068399,0.00860643283916,0.00240770435634,0.00319082346215,0.0424734639572,0.0109932889915,0.0786289879769,0.014676061177,0.0207652907203,0.00590347559038,0.00799602774038,0.0209092649071,0.0398819696623,0.00712425919938
TARA_034,0.847908637827,0.344129624706,0.0617933259444,0.345065483943,0.184179408751,0.392292117164,0.556638956572,0.333843454975,1.3520181202,0.236274873719,0.145257674029,0.180729265918,0.383286215962,0.364753365756,1.3799675247,0.217962931805
