Station,Region,Fraction,Cyanophage,Prochlorococcus,Synechococcus,Cyanobacteria
Eilat_RNA_12,RS,RNA,1.01810204677,401.033377223,55.9079527054,456.941329928
Eilat_RNA_18,RS,RNA,1.80643921215,229.699703728,439.723227693,669.422931422
Eilat_RNA_24,RS,RNA,1.18474791713,526.773965355,36.0975769803,562.871542335
Eilat_RNA_6,RS,RNA,6.23157998276,110.278631281,487.231304079,597.50993536
Eilat_gDNA_12,RS,BACT,66.1055166685,73.4039640137,2.44188407206,75.8458480858
Eilat_gDNA_18,RS,BACT,19.9333632151,107.788521668,4.58056712196,112.36908879
Eilat_gDNA_24,RS,BACT,19.6858949922,141.915301551,6.83737932332,148.752680875
Eilat_gDNA_6,RS,BACT,64.5724531349,89.7898234424,4.07478169511,93.8646051375
Eilat_vDNA_12,RS,VIRUS,37.1656494765,0.623284924446,0.244915262312,0.868200186757
Eilat_vDNA_18,RS,VIRUS,54.3080396922,0.68563089079,0.195382091969,0.881012982759
Eilat_vDNA_24,RS,VIRUS,75.8303764384,0.810537340251,0.179644363008,0.99018170326
Eilat_vDNA_6,RS,VIRUS,33.3111470979,0.276721939982,0.202849274615,0.479571214597
TARA_004,NAO,BACT,354.294775066,379.127038794,27.4206096369,406.547648431
TARA_007,MS,BACT,261.397031321,73.3889778222,31.6936558566,105.082633679
TARA_009,MS,BACT,216.388560239,176.282931707,59.6408326914,235.923764398
TARA_018,MS,BACT,482.682934741,540.044747214,7.11642749672,547.161174711
TARA_018,MS,VIRUS,448.945141695,1.89084273465,0.795325918471,2.68616865312
TARA_022,MS,VIRUS,74.9432693338,0.42502205803,0.555692173107,0.980714231137
TARA_023,MS,BACT,30.9971658883,119.282515611,53.0414379434,172.323953554
TARA_023,MS,VIRUS,52.7750381256,0.216965131219,0.0738637271387,0.290828858358
TARA_025,MS,BACT,222.059060126,365.134905901,90.6693402832,455.804246184
TARA_025,MS,VIRUS,144.947920776,0.840134768355,0.519670126089,1.35980489444
TARA_030,MS,BACT,29.843281239,324.464643102,67.0275060958,391.492149198
TARA_030,MS,VIRUS,51.7601357647,0.510852655919,0.460885766616,0.971738422535
TARA_031,RS,BACT,319.635701233,443.083409689,22.1178868019,465.201296491
TARA_031,RS,VIRUS,502.63638558,2.05360208643,1.04039479234,3.09399687877
TARA_032,RS,BACT,1154.0327263,681.340950031,21.8819735963,703.222923627
TARA_032,RS,VIRUS,409.866357838,5.6267801545,1.83925031397,7.46603046847
TARA_033,RS,BACT,294.651723761,149.071196861,105.207275981,254.278472842
TARA_034,RS,BACT,430.674252006,100.723814,65.6979419431,166.421755943
TARA_034,RS,VIRUS,1756.63928317,3.33667325828,2.50979910868,5.84647236696
TARA_036,IO,BACT,773.152022763,14.1591917532,113.352023128,127.511214881
TARA_036,IO,VIRUS,1859.63520919,1.39383751209,2.10671767591,3.50055518799
TARA_037,IO,BACT,0.576967488193,2.3667466467,0.6977072477,3.0644538944
TARA_037,IO,VIRUS,27.040369961,0.380415333277,0.80398438867,1.18439972195
TARA_038,IO,BACT,834.742856023,267.188985022,141.762689492,408.951674514
TARA_038,IO,VIRUS,1702.09043184,3.67774439301,2.75494050035,6.43268489336
TARA_039,IO,BACT,310.260443766,90.3639041646,31.7173186954,122.08122286
TARA_039,IO,VIRUS,1461.7187209,3.26467413909,2.15615638664,5.42083052573
TARA_041,IO,BACT,604.051882253,429.473235193,13.3342429875,442.807478181
TARA_041,IO,VIRUS,1733.2536916,6.881311482,1.45560726452,8.33691874652
TARA_042,IO,BACT,1222.02935597,361.576498607,8.00106729177,369.577565899
TARA_042,IO,VIRUS,857.732684963,3.02128841426,0.699987869364,3.72127628363
TARA_045,IO,BACT,120.54860545,571.739216744,8.94274403229,580.681960777
TARA_046,IO,VIRUS,162.440721723,0.306051422173,0.12788140189,0.433932824063
TARA_048,IO,BACT,71.5041909201,531.377318701,5.98234912641,537.359667828
TARA_048,IO,VIRUS,278.221265459,9.79039904822,0.208752143652,9.99915119187
TARA_052,IO,BACT,351.388362448,269.712223773,7.17863896733,276.89086274
TARA_052,IO,VIRUS,374.219952054,0.362578952742,0.0162411497784,0.37882010252
TARA_056,IO,BACT,230.273305078,208.052207939,4.24793425192,212.300142191
TARA_056,IO,VIRUS,337.667502304,1.31093943165,0.471555511229,1.78249494288
TARA_057,IO,BACT,124.883209737,117.004576204,45.247028829,162.251605033
TARA_058,IO,BACT,201.158255092,135.605906691,5.95358600877,141.559492699
