Station,SAMEA2619923_17,SAMEA2620078_38,SAMEA2620879_23,SAMEA2621061_122,SAMEA2621085_65,SAMEA2621151_104,SAMEA2621151_40,contig__154566,contig__154592,contig__154676,contig__154680,contig__155057,contig__155688,contig__155773,contig__156409,contig__172037
Eilat_gDNA_12,0.000458295005929,0.0,0.0,0.00132516909715,0.0133086831883,0.00459352227803,0.0204321882477,0.113381519989,0.116171875042,0.390253359714,0.0512331325523,0.0834758507543,0.0820509696199,0.0221772944618,0.0454883833535,0.161808581142
Eilat_gDNA_18,0.0,0.0,0.000479814023205,0.00126722790451,0.00965479813192,0.00488075205163,0.0178759407624,0.0820621387034,0.105467487242,0.259136475117,0.0419309754152,0.0904223537986,0.061649817462,0.0164359076875,0.03434168406,0.149575933112
Eilat_gDNA_24,0.000461751243604,0.0,0.0,0.00267032575385,0.0115595265461,0.00874208828336,0.0297844020072,0.11558054804,0.183227017202,0.344599145105,0.0511544672681,0.133228884133,0.0767647753428,0.0508338394492,0.0783958749412,0.27404375481
Eilat_gDNA_6,0.0,0.0,0.0,0.00377671069117,0.0121636091203,0.0104731719053,0.0330803962232,0.158526482084,0.18985171639,0.365156700018,0.0686658583178,0.142742902174,0.108698890373,0.0516700334035,0.0982543555784,0.292502038998
Eilat_vDNA_12,0.00513183684045,0.00731105824528,0.00122140415321,0.0270969537083,0.180752989944,0.0897037087016,0.234719109492,1.5997289793,2.62390293975,2.23726694451,0.760652828289,4.94988831151,1.97166718622,1.09725861894,0.871474732427,3.49433866375
Eilat_vDNA_18,0.0194306727638,0.0121834351727,0.0011818428079,0.0284389036918,0.274562369078,0.153880466825,0.391156538424,2.5226035633,3.61036193963,5.28668824194,1.53907274067,6.86435326671,2.84659283323,1.86051014566,1.54764572778,8.29771825761
Eilat_vDNA_24,0.0109492458585,0.00643951086637,0.00253581714114,0.0276009920874,0.287177186159,0.20284072976,0.483157394908,2.21874630638,4.80801628047,3.96395939556,1.41572857959,7.54802629761,2.85449181246,1.44433311878,1.60101297117,12.2980231696
Eilat_vDNA_6,0.00759304395397,0.0038011179168,0.000692754015482,0.00975797206889,0.0906071916035,0.0975983856256,0.257191962687,1.20138571355,2.34501397426,1.18114565444,0.243115146733,3.22554041417,1.31087185653,0.712668881205,0.989444699896,6.94893059659
TARA_004,0.00156622311589,0.0244515060169,0.0080274791972,0.00334135051253,0.0221889385498,0.0112791030442,0.035858262583,0.105838824906,0.0137891948138,0.0362561712068,0.00657855714424,0.00271930243297,0.00999371842846,0.00424301770655,0.00907856051141,0.00242812060636
TARA_007,0.0104220644781,0.0171608837926,0.00286408773791,0.00916420894888,0.0140631828424,0.0167520504204,0.149198639246,0.857772999029,0.0273788949914,0.444982007349,0.0191515031195,0.0565875108646,0.140363379637,0.0678869392536,0.00398593772338,0.91137935303
TARA_009,0.000722911728802,0.02914484901,0.00298318234884,0.00368836847123,0.128366738504,0.0178253904823,0.0815504137544,0.137503639343,0.0341807683238,0.043736907809,0.0116020329272,0.00214164111888,0.00728418399355,0.00846702062912,0.0105333951042,0.0138182822161
TARA_018,0.0457925765581,0.13668480294,0.0241081778843,0.048574882451,2.07144352105,3.01691907034,0.518343957228,1.04942347854,0.424161838272,0.776970337887,1.15639679865,0.490695813871,0.146369072406,0.557261370261,0.424404107276,0.122536404175
TARA_022,0.0189668875309,0.141869304915,0.0192851976958,0.0696373543922,0.093396276553,0.279767640431,0.19551845297,0.235474362778,0.0635851514842,1.00208154487,0.110194990891,0.305367124226,9.4199456964,0.279608793431,0.050049702244,0.00227308643177
TARA_023,0.0324415830439,0.199696370388,0.0341436938847,0.0524676475224,0.163929679004,0.731800826131,0.218166664938,0.348295736561,0.106463928426,0.927672065848,0.117138601743,0.164557196613,0.876547536812,0.463271974399,0.141880078264,0.00158095705649
TARA_025,0.03440267473,0.0938716734908,0.0452883715187,0.053052909986,0.224335427511,1.52856243419,0.275326557669,0.318239799161,0.259825004845,0.48075657491,0.075897873285,0.0459144248718,1.7175224557,0.178505810974,0.346127192229,0.00644525589373
TARA_030,0.306809803893,0.053856840767,0.036755375047,0.0234735415541,0.0371817788022,0.622523995173,0.125206660992,0.0279650903319,0.126574718559,0.0418927991843,0.00749607621044,0.0614592320283,0.0210334189432,0.0168799964719,0.0468311153866,0.00916393211706
TARA_031,0.533609600336,0.2951408867,0.0411996480634,0.589895671131,1.9528487237,0.550008612048,3.44977500012,0.602274843221,4.52924333952,1.23689842979,0.591093879367,0.337361541837,1.03492739446,0.870856927313,2.7636601466,0.987741113244
TARA_032,0.477560682212,0.422273330031,0.0545089683926,0.407721676032,1.43476181854,0.683638603675,2.16423920109,0.55245470011,2.97169701101,0.873111671579,0.567032966151,0.152226313008,0.577870206515,0.744480074465,1.67419782563,0.35893853387
TARA_033,0.00389279316981,0.0322748581737,0.00200584136798,0.0172128656783,0.00481540871268,0.0063816469243,0.0849469279145,0.0219865779831,0.157257975954,0.029352122354,0.0415305814406,0.0118069511808,0.0159920554808,0.0418185298143,0.0797639393246,0.0142485183988
TARA_034,6.78326910262,2.75303699764,0.494346607555,2.76052387154,1.47343527001,3.13833693731,4.45311165258,2.6707476398,10.8161449616,1.89019898975,1.16206139223,1.44583412735,3.06628972769,2.91802692605,11.0397401976,1.74370345444
TARA_036,0.142392759225,3.40621819394,0.103659526983,0.427014798117,14.1283792182,0.686431754476,0.454568292903,0.428173038203,0.555792192945,2.07235627601,3.82152203073,0.460840882108,0.554529618259,1.516071733,0.701044047964,2.00173227062
