RUN,AMODIS:PAR8d,Chl_a [ugr/l],Chlorophyll,Date,Depth,ENA-SAMPLE,Einsteins/m-2/d-1,Environment (Feature),Lyapunov_exp.,NO2 [umol/L],NO2NO3 [umol/L],Nitrate Sensor,Nitrates [umol/L],Okubo-Weiss,Oxygen Sensor,Oxygen [umol/kg],PO4 [umol/L],POC [ugr/l],Region,SI [umol/L],Salinity Sensor,Salinity [PSU],Sample label [TARA_station#_environmental-feature_size-fraction],Sampling Station,SiOH4 [umol/l],Station,Temperature,grad_SST_adv,Crenarchaeota,Cyanophage,Euryarchaeota,Group_D,Halovirus,MGII,MGII_virus,Prochlorococcus,SAR11,SAR116,SAR116_Phage,SAR11_Phage,Synechococcus
ERR315861,47.2,,0.0419,21/05/2011 12:37,5.0,ERS477979,0.02,surface water (ENVO:00002042) layer,0.43,0.31,8.2,,6.7,0.0,221.457208,190.8,0.75,,MS,3.9,38.201396,35.0,TARA_023_SRF_0.22-1.6,TARA_023,,TARA_023,17.321979,7.03,0.0615241765726,2.43248078288,0.00213777972898,0.000485591138785,0.0,3.87018199173,0.0163985978129,14.8499852504,70.6185667689,3.11993887503,0.219141776947,3.17398174006,11.357417948
ERR315862,39.6,,0.01585,28/07/2011 19:36,5.0,ERS478017,0.0,surface water (ENVO:00002042) layer,,0.1,2.8,-0.447961,2.3,0.02,207.738375,179.9,0.59,,MS,1.8,39.425208,36.1,TARA_030_SRF_0.22-1.6,TARA_030,,TARA_030,20.460612,8.42,0.00326277642205,1.21851770965,0.000290635220805,0.0,0.0,0.350479604662,0.00539319069413,10.9928683701,66.1795624704,0.925344677605,0.118203880258,2.22920664954,0.950710747496
ERR315863,39.6,,0.01585,28/07/2011 19:36,5.0,ERS478017,0.0,surface water (ENVO:00002042) layer,,0.1,2.8,-0.447961,2.3,0.02,207.738375,179.9,0.59,,MS,1.8,39.425208,36.1,TARA_030_SRF_0.22-1.6,TARA_030,,TARA_030,20.460612,8.42,0.00372176960026,6.15657090933,0.00148723998129,0.0,0.0,1.35265856322,0.0202317422649,12.6382076857,59.3935015869,2.05678805605,0.321532383196,6.41819787897,8.73972388735
ERR318618,24.5,,0.042495,15/06/2011 22:14,70.0,ERS478040,-0.06,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.44,0.01,31.46,0.254406,29.2,0.03,218.132538,199.2,2.15,,MS,20.6,39.255952,34.3,TARA_030_DCM_0.22-1.6,TARA_030,,TARA_030,18.979535,17.22,0.00143116136697,6.0731343223,0.00266693442535,0.000462397803553,0.0,1.38855800296,0.051499236356,82.5397459328,53.7463373263,0.961282637122,0.15881451626,4.49844944979,12.6268482599
ERR318619,24.5,,0.042495,15/06/2011 22:14,70.0,ERS478040,-0.06,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.44,0.01,31.46,0.254406,29.2,0.03,218.132538,199.2,2.15,,MS,20.6,39.255952,34.3,TARA_030_DCM_0.22-1.6,TARA_030,,TARA_030,18.979535,17.22,0.00155089647893,4.99651315811,0.00212711141169,0.0,0.0,1.24158939605,0.0543715386535,68.7592494477,39.072735326,0.448846844886,0.0979812924127,3.40111892817,16.6011412434
ERR318620,24.5,,0.042495,15/06/2011 22:14,70.0,ERS478040,-0.06,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.44,0.01,31.46,0.254406,29.2,0.03,218.132538,199.2,2.15,,MS,20.6,39.255952,34.3,TARA_030_DCM_0.22-1.6,TARA_030,,TARA_030,18.979535,17.22,0.00136156834368,6.25581352933,0.00206080365963,0.000684030135714,0.0,1.29913450579,0.0498984017706,81.2228549842,61.2151079475,0.661251051533,0.15161570894,4.61989120466,11.0761223396
ERR318621,24.5,,0.042495,15/06/2011 22:14,70.0,ERS478040,-0.06,deep chlorophyll maximum layer (ENVO:xxxxxxxx),0.44,0.01,31.46,0.254406,29.2,0.03,218.132538,199.2,2.15,,MS,20.6,39.255952,34.3,TARA_030_DCM_0.22-1.6,TARA_030,,TARA_030,18.979535,17.22,0.00108517952797,5.14273161034,0.000956942962202,0.00231051128468,0.0,1.11353570252,0.0612035964294,68.3117166819,35.7877513352,1.63962702391,0.101502505259,3.58432660051,17.032959618
ERR594284,14.3,,0.295808,15/07/2010 12:26,115.0,ERS492703,0.01,deep chlorophyll maximum layer (ENVO:xxxxxxxx),,0.3,3.34,2.333576,2.5,0.05,179.916875,238.9,0.34,,SPO,2.74,36.097575,35.3,TARA_122_DCM_0.1-0.22,TARA_122,,TARA_122,24.69625,0.0,0.00489580513628,396.541156423,0.00206064375251,0.0052117360303,0.0,0.66362211517,1.23602877872,1.3276701386,4.07237995633,0.178502481703,0.111762862096,19.8553825436,0.721569188211
ERR594285,48.8,,0.127609,22/09/2010 10:38,120.0,ERS492866,0.0,marine epipelagic mixed layer (ENVO:xxxxxxxxx),1.33,0.01,36.73,4.458677,37.8,0.04,175.895625,161.7,2.52,,SPO,44.86,35.797875,34.4,TARA_124_MIX_0.1-0.22,TARA_124,,TARA_124,25.221787,10.81,0.0267512736032,228.570370142,0.00185930646051,0.841342968372,0.0,3.86369326575,11.3519596066,0.944902991666,6.37680379153,0.215152491385,0.327890661071,30.3465003027,15.4443324354
ERR594286,47.7,,0.033622,15/03/2010 3:44,5.0,ERS490548,0.01,surface water layer (ENVO:00002042),0.16,0.01,0.06,0.030608,0.9,0.07,206.194333,199.9,0.32,,SAO,1.18,37.101367,36.6,TARA_076_SRF_0.45-0.8,TARA_076,,TARA_076,23.349542,1.08,0.0017281037814,59.4232921437,0.00282384208824,0.00263681844862,0.0,24.3584454671,0.177841141127,262.097130038,29.6350091116,1.53378381437,0.0228927718074,1.3101023577,3.92799937526
ERR594287,48.2,,0.286662,21/09/2010 7:05,5.0,ERS492818,0.0,surface water layer (ENVO:00002042),1.33,0.05,0.99,5.111856,0.2,0.04,190.724,215.7,0.36,,SPO,1.36,35.396729,36.4,TARA_124_SRF_0.1-0.22,TARA_124,,TARA_124,26.518986,10.81,0.000640673682072,186.40366447,0.00180842471949,0.336248464377,0.0,5.25180132632,11.5177544823,0.401511917409,3.44919216966,0.0674189585552,0.631488218337,46.7408767272,0.349239756506
ERR594288,42.1,,-0.0247,21/04/2011 20:16,5.0,ERS488119,0.0,surface water layer (ENVO:00002042),1.8,0.32,12.6,,11.7,0.04,,206.0,1.0,,MS,5.0,37.9751,34.7,TARA_009_SRF_0.22-1.6,TARA_009,,TARA_009,23.8526,3.75,0.00120099617305,14.7518465514,0.00591381261522,0.00036861605375,0.0,3.04883132085,0.0276931987486,30.8440047538,52.1681936107,1.82353462188,0.165861532345,0.959474162753,18.7930931578
ERR594289,48.6,,0.0,20/03/2010 9:36,800.0,ERS490722,0.33,mesopelagic zone (ENVO:00000213),1.63,2.07,21.22,29.783185,19.6,0.03,214.842,2.3,2.64,,SAO,38.62,34.3629,35.9,TARA_078_MES_0.45-0.8,TARA_078,,TARA_078,5.8659,2.14,0.244230941413,0.491092372118,0.00869279458541,0.000119203558177,0.0,9.98804267879,0.0109649949982,6.23732651773,5.71477598715,0.509163678256,0.0011901596168,0.0532992580756,1.00018146652
