ENA-SAMPLE,SAMEA2619923_17,SAMEA2620078_38,SAMEA2620879_23,SAMEA2621061_122,SAMEA2621085_65,SAMEA2621151_104,SAMEA2621151_40,contig__154566,contig__154592,contig__154676,contig__154680,contig__155057,contig__155688,contig__155773,contig__156409,contig__172037
ERS478007,0.0324415830439,0.190520118114,0.0324293228905,0.0493951564797,0.158662689795,0.718921840608,0.213183084996,0.341658110578,0.103089477114,0.885298158425,0.115538195696,0.163698230276,0.844541364447,0.455605449895,0.135906915975,0.00158095705649
ERS478052,0.286698595743,0.0233768248496,0.0343311234714,0.0220681452709,0.0284099128989,0.538799941736,0.093956765436,0.0246280614254,0.0974230451902,0.0409555773756,0.00601543634764,0.0505453161716,0.0181164045968,0.0132473560801,0.0364026411673,0.0075315215312
ERS488340,0.00409583192638,0.0165522804461,0.00134526475961,0.0118431792312,0.28053702871,0.13912339243,0.12976587285,0.269816727676,0.0525691435097,0.224939403209,0.150150339277,0.143924890012,0.0934753966524,0.100091441339,0.0527781749794,0.058532649476
ERS488354,0.0386787702465,0.0748214094589,0.0214283257412,0.0341360352035,1.69158778492,2.79160715255,0.339490545333,0.728813774935,0.313510968033,0.50026364307,0.872013246492,0.332012259559,0.0518012468935,0.440300365542,0.310794883979,0.0618954588428
ERS488448,0.0189668875309,0.141869304915,0.0192851976958,0.0696373543922,0.093396276553,0.279767640431,0.19551845297,0.235474362778,0.0635851514842,1.00208154487,0.110194990891,0.305367124226,9.4199456964,0.279608793431,0.050049702244,0.00227308643177
ERS488499,0.0138152377704,0.0252849625229,0.0053142793045,0.0154749771176,0.0901084764188,0.144292682522,0.0871291837431,0.0742621417837,0.0555109894344,0.162189976871,0.0203064126297,0.0234724559388,1.46957716827,0.0402022253156,0.0425871386617,0.0025110407539
ERS488518,0.0181421046956,0.0554020890472,0.0324284327389,0.0339015936687,0.124572686507,1.21886108496,0.172442765661,0.218758960556,0.175429587968,0.272059770964,0.050339415041,0.0208880028892,0.215251543639,0.115561918097,0.279164382261,0.00373490852374
ERS488558,0.506034114872,0.275016924681,0.0391734931977,0.565174261421,1.85088590892,0.524332277437,3.25392708015,0.570041303409,4.30011573173,1.11417152249,0.525391769273,0.326060823081,0.994853513142,0.823398443441,2.68881788154,0.954704883204
ERS488589,0.427847543465,0.368067700757,0.0352572567449,0.372099630611,1.21772715569,0.601580893095,1.69938792384,0.467166247005,2.32290950292,0.597160080581,0.337843609547,0.124828428566,0.408432704073,0.65163532499,1.38089575764,0.24944393183
ERS488613,0.0279945568444,0.00526047082202,0.00692076857656,0.0133460700575,0.0913324780449,0.0536375366014,0.140484254038,0.0294963984903,0.185125404897,0.095618131189,0.0397141024075,0.0150414473529,0.149537195509,0.0506184561935,0.161706076082,0.0728769637945
ERS488658,0.193278176258,0.78649049691,0.0486590706794,0.730217769509,0.121547992419,0.241453153451,1.23200225321,0.477578585404,2.34606474898,0.533154166236,0.268755589471,0.447299656185,0.68281371412,1.06699862965,1.9640834214,0.700767238078
ERS488673,0.685580485818,1.76367135784,0.129671178118,1.78564899697,0.541845578253,0.565077728816,2.8394173002,1.28892429789,7.15372116565,1.06251490163,0.605547158548,0.652638474453,2.10194752157,1.64950425616,7.69927529777,0.981072374033
ERS488701,5.70016373569,0.110823515042,0.282149952446,0.214876591119,0.781824453829,2.26104898093,0.305009947638,0.831893645876,0.950730660853,0.2488527786,0.251392563512,0.324032125068,0.231490133906,0.145225312599,1.21605389921,0.0384429493947
ERS488722,0.0292341949271,1.02975721227,0.0417860076605,0.12992766867,4.2927170551,0.220666627078,0.1363433004,0.126844453988,0.193687248198,0.776962676664,1.3437207026,0.222522968419,0.194915182499,0.502993120822,0.243219060482,1.02260423167
ERS488737,0.0261884497669,0.905024322075,0.0246577035091,0.143876401402,5.25375026177,0.180825499448,0.155509176925,0.110269775445,0.164700396752,0.581312009304,1.16577534886,0.145213007197,0.179302454813,0.49487357863,0.212052435989,0.47640266469
ERS488757,0.0750628091601,0.983829961737,0.0248196379927,0.112650065897,3.36225511561,0.216001848309,0.119467686129,0.156891908915,0.128778681511,0.447299116661,0.850345399847,0.0698351840398,0.131821845234,0.321792497511,0.184659292468,0.353192709362
ERS488773,0.00851357013243,0.0771276794304,0.0100586904379,0.0106041248591,0.143168445432,0.0134752980383,0.0101683450106,0.0120602784776,0.017857641503,0.0542915275602,0.0742151299981,0.0109646524225,0.00929965103051,0.029887073068,0.023959776983,0.0330489356685
ERS488803,0.046899666742,1.2637560464,0.0314122148053,0.160606343292,6.41689033049,0.148090113648,0.208307929221,0.130616375125,0.361758574619,1.09066824168,2.16664058247,0.255252505343,0.221994054849,0.700879854128,0.363181027364,0.868288021965
ERS488813,0.133796905752,5.14857475898,0.117318402477,0.452327806945,12.6103436943,0.655134890267,0.336901209632,0.338973340437,1.44323442466,3.55791907954,6.7844561259,0.523885959932,0.776701219731,3.19416932066,0.847932141897,1.35747938179
ERS488836,0.285035119786,2.03744394924,0.178929075944,0.842653582893,30.798753796,1.02018024062,0.856812744,0.618624148498,2.62431804531,3.47405744831,15.7532991122,0.48443453212,0.676003815134,3.56983258211,2.68083782271,0.920801058207
